locality_id,name,zip_code,state
1zINp3NUJt,Pantanos,K5340XAK,Catamarca
1bqaUBbkSD,Kilometro 969,K5260XBT,Catamarca
mY6fdZT9tO,Kilometro 997,K5260XBU,Catamarca
POi1r6zxQn,La Brea,K5260XBO,Catamarca
41sKRDaRSH,La Buena Estrella,K5260XBP,Catamarca
UoGwyb8aDc,La Campana,K4139XAK,Catamarca
M4yHC8G5wL,La Hoyada,K4139XAL,Catamarca
bye1o44OGT,La Loma,K4139XAB,Catamarca
8b8Knm8iVS,Huaycama,K4705XAK,Catamarca
8oqsLcRCuA,Mina Inca Huasi,K4705XAJ,Catamarca
gmI0Z9SEnh,Mota Botello,K4707XAJ,Catamarca
NdCEE-yued,Rosario del Sumalao,K4707XAL,Catamarca
1U5YB3gTHc,Santa Cruz,K4707XAM,Catamarca
BzlV3dTJUc,Tacahuasi,K4705XAE,Catamarca
JOPED4zYCT,Toro Muerto,K4705XAF,Catamarca
Lj81UPiqZb,Agua de Dionisio,K4750XCM,Catamarca
c3wSjDOqwT,Aguas Calientes,K4750XCN,Catamarca
rhHF5-guLT,Alto el Bolson,K4751XAF,Catamarca
vt6zWCFmy8,Asampay,K4750XBR,Catamarca
gCN6VBYleA,Barranca Larga,K4750XBS,Catamarca
_jBiwJmVJY,Pastos Amarillos,K5340XAL,Catamarca
qR14F-bIAI,Pillahuasi,K5340XAM,Catamarca
U38NhvePev,Planchada,K5340XAN,Catamarca
kCBAnM-FQ0,Pocitos,K5340XCQ,Catamarca
FscxvIDGSZ,Quebrada Honda,K5340XCR,Catamarca
ljXPiVU6jU,Quemadita,K5340XCS,Catamarca
K5wpBkshjJ,Lagunita,K5260XBY,Catamarca
ML-iTVaGb-,Laja,K5260XBZ,Catamarca
1oSqEGM33v,Las Cortaderitas,K5260XAI,Catamarca
rv0AEOb7jU,Las Puertas,K5260XCA,Catamarca
2TZ2zKSTx_,Las Zanjas,K5260XCB,Catamarca
RuKF4_IUeR,Liebre,K5260XCC,Catamarca
QFFsBlA4ef,Los Caudillos,K5260XAJ,Catamarca
dE_f-GdVz0,Vega Curutu,K4705XAG,Catamarca
k2bHx8jGg5,Vega Tamberia,K4705XAH,Catamarca
4VJKeLE4B-,Cachijan,K4750XBT,Catamarca
_94iR62KJe,Carrizal,K5340XBN,Catamarca
gX6EZqYUS-,Carrizal de Abajo,K4750XBV,Catamarca
ssnXNtOXNb,Carrizal de la Costa,K4750XBW,Catamarca
wjUHJBgn9x,Chañaryaco,K4740XBC,Catamarca
jP-ShWJUHT,Condor Huasi de Belen,K4751XAD,Catamarca
_vxPY7uexp,Corral Quemado,K4751XAA,Catamarca
t9718mLHXv,Quemado,K5340XCT,Catamarca
aZ5l4e1cLj,Quiquero,K5340XCU,Catamarca
XHwssRBy2o,Qusto,K5340XCV,Catamarca
Gg25ezIzuB,Rio Abajo,K5340XCW,Catamarca
ds11jXDfmn,Rio de los Indios,K5340XCX,Catamarca
01Rvdv41SJ,Rodeo,K5340XCY,Catamarca
dlgs7S8qwR,San Buenaventura,K5340XCC,Catamarca
A_H-Q10f5Y,Los Chañares,K5260XCD,Catamarca
Vp9lL6ffZn,Mollegasta,K5260XCE,Catamarca
RlmiiCyLAx,Navigan,K5260XAK,Catamarca
TezdOXjpTY,Ollita,K5260XBD,Catamarca
a-Bty7_oRh,Olmos,K5260XCF,Catamarca
5uLS0Tv6r2,Palo Seco,K4139XAM,Catamarca
8Na0KH5nrK,Cotagua,K4750XCQ,Catamarca
0DwqodgCe0,Culampaja,K4750XCR,Catamarca
Sn1GjK64ep,El Cajon,K4139XBM,Catamarca
arZm3Hoj8o,El Campillo,K4750XCU,Catamarca
PlyTYX5rsy,El Carrizal,K4728XBF,Catamarca
bupJ337ap7,El Durazno,K4750XCW,Catamarca
1UqqyF5Htz,El Tio,K4750XBZ,Catamarca
Oxi7DA4ZlI,Pampa Pozo,K5260XCG,Catamarca
cdVCjBNw_T,Paraje los Chañaritos,K5260XAZ,Catamarca
butaPs6uME,Plumero,K5260XCH,Catamarca
Pv8ZyZBuj2,Pozancones,K5260XFL,Catamarca
Znn3vkMU6O,Pto Espinal,K5260XAS,Catamarca
yIlWHglias,Puesto de Fadel o de Lobo,K5260XFN,Catamarca
X5C3I7wmSe,El Tolar,K4750XCA,Catamarca
bbPYsbGIyN,Farallon Negro,K4751XAB,Catamarca
kDhC9Yq7tw,Huasayaco,K4750XCC,Catamarca
TMQ0_yWpuo,Huasi Cienaga,K4750XCX,Catamarca
gk3GsBjsbw,Jacipunco,K4751XAG,Catamarca
DzPUHdsG6L,Punta del Pozo,K5260XAT,Catamarca
f3_yw7DB4Y,San Rafael,K5260XFV,Catamarca
xahuXGcKN2,La Cañada,K5260XEU,Catamarca
1ZD_zPLQ1p,La Capellania,K5340XBU,Catamarca
SmFKy1l6BT,La Cienaga,K5340XBV,Catamarca
mnDhoYk9jR,La Cuesta,K4750XDC,Catamarca
xC8D0jPBD2,La Estancia,K4235XBE,Catamarca
kFFtAqQVqj,La Toma,K4750XCG,Catamarca
9_Z-ZSjyUA,La Viña,K4722XAA,Catamarca
KscC8LLZvO,Laguna Blanca,K4751XAE,Catamarca
he6nAs_LPU,Laguna Colorada,K4750XCI,Catamarca
vAP03dWWd1,Las Barrancas,K4751XAL,Catamarca
7HYArTTlxV,Las Cuevas,K4750XDD,Catamarca
YyJa_oBYVF,Las Juntas,K4750XDE,Catamarca
Jl0ojZ7oBZ,Las Manzas,K4750XDF,Catamarca
UYfZCreEqw,Loconte,K4750XDG,Catamarca
Z72yThRofH,Los Nacimientos,K4751XAJ,Catamarca
EEOhzVBgRS,Los Pozuelos,K4139XBW,Catamarca
JO2Ua43093,Minas Agua Tapada,K4750XBI,Catamarca
wS1LQzwiv9,Nacimientos de Arriba,K4750XBG,Catamarca
