streetId,isOdd,from,until,zip
00000001,true,1701,1799,B1690AOA
00000001,true,1801,1899,B1690AOC
00000001,true,1901,1999,B1690AOE
00000001,true,2001,2099,B1690AOG
00000002,false,9702,9800,B1690AFN
00000002,false,9802,9900,B1690AFO
00000002,false,9902,10000,B1690AFP
00000002,false,10002,10100,B1690AFQ
00000002,false,10102,10200,B1690AFR
00000002,false,10202,10300,B1690AFS
00000002,false,10302,10400,B1690AFT
00000002,false,10402,10500,B1690AFU
00000002,false,10502,10600,B1690AFV
00000002,false,10602,10700,B1690AFW
00000002,false,10702,10800,B1690AFX
00000002,false,10802,10900,B1690AFY
00000003,true,1701,1799,B1690AYA
00000003,false,1702,1800,B1690AYN
00000003,true,1801,1899,B1690AYB
00000003,false,1802,1900,B1690AYO
00000003,true,1901,1999,B1690AYC
00000003,false,1902,2000,B1690AYP
00000003,true,2001,2099,B1690AYD
00000003,false,2002,2100,B1690AYQ
00000004,true,1701,1799,B1690ABA
00000004,false,1702,1800,B1690ABB
00000004,true,1801,1899,B1690ABC
00000004,false,1802,1900,B1690ABD
00000004,true,1901,1999,B1690ABE
00000004,false,1902,2000,B1690ABF
00000004,true,2001,2099,B1690ABG
00000004,false,2002,2100,B1690ABH
00000005,true,1701,1799,B1690AOA
00000005,true,1801,1899,B1690AOC
00000005,true,1901,1999,B1690AOE
00000005,true,2001,2099,B1690AOG
00000006,true,9701,9799,B1690AAA
00000006,false,9702,9800,B1690AAB
00000006,true,9801,9899,B1690AAC
00000006,false,9802,9900,B1690AAD
00000006,true,9901,9999,B1690AAE
00000006,false,9902,10000,B1690AAF
00000006,true,10001,10099,B1690AAG
00000006,false,10002,10100,B1690AAH
00000006,true,10101,10199,B1690AAI
00000006,false,10102,10200,B1690AAJ
00000006,true,10201,10299,B1690AAK
00000006,false,10202,10300,B1690AAL
00000006,true,10301,10399,B1690AAM
00000006,false,10302,10400,B1690AAN
00000006,true,10401,10499,B1690AAO
00000006,false,10402,10500,B1690AAP
00000006,true,10501,10599,B1690AAQ
00000006,false,10502,10600,B1690AAR
00000006,true,10601,10699,B1690AAS
00000006,false,10602,10700,B1690AAT
00000006,true,10701,10799,B1690AAU
00000006,false,10702,10800,B1690AAV
00000007,true,9701,9799,B1690AQA
00000007,false,9702,9800,B1690AQB
00000007,true,9801,9899,B1690AQC
00000007,false,9802,9900,B1690AQD
00000007,true,9901,9999,B1690AQE
00000007,false,9902,10000,B1690AQF
00000007,true,10001,10099,B1690AQG
00000007,false,10002,10100,B1690AQH
00000007,true,10101,10199,B1690AQI
00000007,false,10102,10200,B1690AQJ
00000007,true,10201,10299,B1690AQK
00000007,false,10202,10300,B1690AQL
00000007,true,10301,10399,B1690AQM
00000007,false,10302,10400,B1690AQN
00000007,true,10401,10499,B1690AQO
00000007,false,10402,10500,B1690AQP
00000007,true,10501,10599,B1690AQQ
00000007,false,10502,10600,B1690AQR
00000007,true,10601,10699,B1690AQS
00000007,false,10602,10700,B1690AQT
00000007,true,10701,10799,B1690AQU
00000007,false,10702,10800,B1690AQV
00000008,true,1701,1799,B1690AKC
00000008,false,1702,1800,B1690AKD
00000008,true,1801,1899,B1690AKE
00000008,false,1802,1900,B1690AKF
00000008,true,1901,1999,B1690AKG
00000008,false,1902,2000,B1690AKH
00000008,true,2001,2099,B1690AKI
00000008,false,2002,2100,B1690AKJ
00000009,true,9701,9799,B1690AGA
00000009,false,9702,9800,B1690AGB
00000009,true,9801,9899,B1690AGC
00000009,false,9802,9900,B1690AGD
00000009,true,9901,9999,B1690AGE
00000009,false,9902,10000,B1690AGF
00000009,true,10001,10099,B1690AGG
00000009,false,10002,10100,B1690AGH
00000009,true,10101,10199,B1690AGI
00000009,false,10102,10200,B1690AGJ
00000009,true,10201,10299,B1690AGK
00000009,false,10202,10300,B1690AGL
00000009,true,10301,10399,B1690AGM
00000009,false,10302,10400,B1690AGN
00000009,true,10401,10499,B1690AGO
00000009,false,10402,10500,B1690AGP
00000009,true,10501,10599,B1690AGQ
00000009,false,10502,10600,B1690AGR
00000009,true,10601,10699,B1690AGS
00000009,false,10602,10700,B1690AGT
00000010,true,1701,1799,B1690ABA
00000010,false,1702,1800,B1690ABB
00000010,true,1801,1899,B1690ABC
00000010,false,1802,1900,B1690ABD
00000010,true,1901,1999,B1690ABE
00000010,false,1902,2000,B1690ABF
00000010,true,2001,2099,B1690ABG
00000010,false,2002,2100,B1690ABH
00000011,true,9701,9799,B1690ANA
00000011,true,9801,9899,B1690ANC
00000011,true,9901,9999,B1690ANE
00000011,true,10001,10099,B1690ANG
00000011,true,10101,10199,B1690ANI
00000011,true,10201,10299,B1690ANK
00000011,true,10301,10399,B1690ANM
00000011,true,10401,10499,B1690ANQ
00000011,true,10501,10599,B1690ANS
00000012,true,1701,1799,B1690ATA
00000012,false,1702,1800,B1690ATB
00000012,true,1801,1899,B1690ATC
00000012,false,1802,1900,B1690ATD
00000012,true,1901,1999,B1690ATE
00000012,false,1902,2000,B1690ATF
00000012,true,2001,2099,B1690ATG
00000012,false,2002,2100,B1690ATH
00000013,true,1701,1799,B1690ADA
00000013,false,1702,1800,B1690ADB
00000013,true,1801,1899,B1690ADC
00000013,false,1802,1900,B1690ADD
00000013,true,1901,1999,B1690ADE
00000013,false,1902,2000,B1690ADF
00000013,true,2001,2099,B1690ADG
00000013,false,2002,2100,B1690ADH
00000014,true,1701,1799,B1690AUA
00000014,false,1702,1800,B1690AUB
00000014,true,1801,1899,B1690AUC
00000014,false,1802,1900,B1690AUD
00000014,true,1901,1999,B1690AUE
00000014,false,1902,2000,B1690AUF
00000014,true,2001,2099,B1690AUG
00000014,false,2002,2100,B1690AUH
00000015,true,1701,1799,B1690AXA
00000015,false,1702,1800,B1690AXB
00000015,true,1801,1899,B1690AXC
00000015,false,1802,1900,B1690AXD
00000015,true,1901,1999,B1690AXE
00000015,false,1902,2000,B1690AXF
00000015,true,2001,2099,B1690AXG
00000015,false,2002,2100,B1690AXH
00000016,true,1701,1799,B1690AWA
00000016,false,1702,1800,B1690AWB
00000016,true,1801,1899,B1690AWC
00000016,false,1802,1900,B1690AWD
00000016,true,1901,1999,B1690AWE
00000016,false,1902,2000,B1690AWF
00000016,true,2001,2099,B1690AWG
00000016,false,2002,2100,B1690AWH
00000017,true,1701,1799,B1690APA
00000017,false,1702,1800,B1690APB
00000017,true,1801,1899,B1690APC
00000017,false,1802,1900,B1690APD
00000017,true,1901,1999,B1690APE
00000017,false,1902,2000,B1690APF
00000017,true,2001,2099,B1690APG
00000017,false,2002,2100,B1690APH
00000018,true,1901,1999,B1690AVA
00000018,false,1902,2000,B1690AVB
00000018,true,2001,2099,B1690AVC
00000018,false,2002,2100,B1690AVD
00000019,true,1901,1999,B1690AHA
00000019,false,1902,2000,B1690AHB
00000019,true,2001,2099,B1690AHC
00000019,false,2002,2100,B1690AHD
00000020,true,1701,1799,B1690ASA
00000020,false,1702,1800,B1690ASB
00000020,true,1801,1899,B1690ASC
00000020,false,1802,1900,B1690ASD
00000020,true,1901,1999,B1690ASE
00000020,false,1902,2000,B1690ASF
00000020,true,2001,2099,B1690ASG
00000020,false,2002,2100,B1690ASH
00000021,true,1701,1799,B1690AJA
00000021,false,1702,1800,B1690AJB
00000021,true,1801,1899,B1690AJC
00000021,false,1802,1900,B1690AJD
00000021,true,1901,1999,B1690AJE
00000021,false,1902,2000,B1690AJF
00000021,true,2001,2099,B1690AJG
00000021,false,2002,2100,B1690AJH
00000022,true,1701,1799,B1690AEA
00000022,false,1702,1800,B1690AEB
00000022,true,1801,1899,B1690AEC
00000022,false,1802,1900,B1690AED
00000022,true,1901,1999,B1690AEE
00000022,false,1902,2000,B1690AEF
00000022,true,2001,2099,B1690AEG
00000022,false,2002,2100,B1690AEH
00000023,true,1701,1799,B1690ALA
00000023,false,1702,1800,B1690ALB
00000023,true,1801,1899,B1690ALC
00000023,false,1802,1900,B1690ALD
00000023,true,1901,1999,B1690ALE
00000023,false,1902,2000,B1690ALF
00000023,true,2001,2099,B1690ALG
00000023,false,2002,2100,B1690ALH
00000024,true,1701,1799,B1690AMA
00000024,false,1702,1800,B1690AMB
00000024,true,1801,1899,B1690AMC
00000024,false,1802,1900,B1690AMD
00000024,true,1901,1999,B1690AME
00000024,false,1902,2000,B1690AMF
00000025,true,1701,1799,B1690ARA
00000025,false,1702,1800,B1690ARB
00000025,true,1801,1899,B1690ARC
00000025,false,1802,1900,B1690ARD
00000025,true,1901,1999,B1690ARE
00000025,false,1902,2000,B1690ARF
00000025,true,2001,2099,B1690ARG
00000025,false,2002,2100,B1690ARH
00000025,true,2101,2199,B1690ARI
00000025,false,2102,2200,B1690ARJ
00000025,true,2201,2299,B1690ARK
00000025,false,2202,2300,B1690ARL
00000025,true,2301,2399,B1690ARM
00000025,false,2302,2400,B1690ARN
00000025,true,2401,2499,B1690ARO
00000025,false,2402,2500,B1690ARP
00000026,true,1701,1799,B1690ADA
00000026,false,1702,1800,B1690ADB
00000026,true,1801,1899,B1690ADC
00000026,false,1802,1900,B1690ADD
00000026,true,1901,1999,B1690ADE
00000026,false,1902,2000,B1690ADF
00000026,true,2001,2099,B1690ADG
00000026,false,2002,2100,B1690ADH
00000027,true,1701,1799,B1690AEA
00000027,false,1702,1800,B1690AEB
00000027,true,1801,1899,B1690AEC
00000027,false,1802,1900,B1690AED
00000027,true,1901,1999,B1690AEE
00000027,false,1902,2000,B1690AEF
00000027,true,2001,2099,B1690AEG
00000027,false,2002,2100,B1690AEH
00000028,all,0,99999999,B1690ACA
00000029,true,1701,1799,B1690ATA
00000029,false,1702,1800,B1690ATB
00000029,true,1801,1899,B1690ATC
00000029,false,1802,1900,B1690ATD
00000029,true,1901,1999,B1690ATE
00000029,false,1902,2000,B1690ATF
00000029,true,2001,2099,B1690ATG
00000029,false,2002,2100,B1690ATH
00000030,true,9701,9799,B1690AGA
00000030,false,9702,9800,B1690AGB
00000030,true,9801,9899,B1690AGC
00000030,false,9802,9900,B1690AGD
00000030,true,9901,9999,B1690AGE
00000030,false,9902,10000,B1690AGF
00000030,true,10001,10099,B1690AGG
00000030,false,10002,10100,B1690AGH
00000030,true,10101,10199,B1690AGI
00000030,false,10102,10200,B1690AGJ
00000030,true,10201,10299,B1690AGK
00000030,false,10202,10300,B1690AGL
00000030,true,10301,10399,B1690AGM
00000030,false,10302,10400,B1690AGN
00000030,true,10401,10499,B1690AGO
00000030,false,10402,10500,B1690AGP
00000030,true,10501,10599,B1690AGQ
00000030,false,10502,10600,B1690AGR
00000030,true,10601,10699,B1690AGS
00000030,false,10602,10700,B1690AGT
00000031,true,1901,1999,B1690AHA
00000031,false,1902,2000,B1690AHB
00000031,true,2001,2099,B1690AHC
00000031,false,2002,2100,B1690AHD
00000032,true,10301,10399,B1690AIA
00000032,false,10302,10400,B1690AIB
00000032,true,10401,10499,B1690AIC
00000032,false,10402,10500,B1690AID
00000032,true,10501,10599,B1690AIE
00000032,false,10502,10600,B1690AIF
00000033,true,1701,1799,B1690AXA
00000033,false,1702,1800,B1690AXB
00000033,true,1801,1899,B1690AXC
00000033,false,1802,1900,B1690AXD
00000033,true,1901,1999,B1690AXE
00000033,false,1902,2000,B1690AXF
00000033,true,2001,2099,B1690AXG
00000033,false,2002,2100,B1690AXH
00000034,true,1701,1799,B1690AKC
00000034,false,1702,1800,B1690AKD
00000034,true,1801,1899,B1690AKE
00000034,false,1802,1900,B1690AKF
00000034,true,1901,1999,B1690AKG
00000034,false,1902,2000,B1690AKH
00000034,true,2001,2099,B1690AKI
00000034,false,2002,2100,B1690AKJ
00000035,true,10301,10399,B1690AIA
00000035,false,10302,10400,B1690AIB
00000035,true,10401,10499,B1690AIC
00000035,false,10402,10500,B1690AID
00000035,true,10501,10599,B1690AIE
00000035,false,10502,10600,B1690AIF
00000036,false,9702,9800,B1690AFN
00000036,false,9802,9900,B1690AFO
00000036,false,9902,10000,B1690AFP
00000036,false,10002,10100,B1690AFQ
00000036,false,10102,10200,B1690AFR
00000036,false,10202,10300,B1690AFS
00000036,false,10302,10400,B1690AFT
00000036,false,10402,10500,B1690AFU
00000036,false,10502,10600,B1690AFV
00000036,false,10602,10700,B1690AFW
00000036,false,10702,10800,B1690AFX
00000036,false,10802,10900,B1690AFY
00000037,true,1701,1799,B1690AJA
00000037,false,1702,1800,B1690AJB
00000037,true,1801,1899,B1690AJC
00000037,false,1802,1900,B1690AJD
00000037,true,1901,1999,B1690AJE
00000037,false,1902,2000,B1690AJF
00000037,true,2001,2099,B1690AJG
00000037,false,2002,2100,B1690AJH
00000038,true,1701,1799,B1690ALA
00000038,false,1702,1800,B1690ALB
00000038,true,1801,1899,B1690ALC
00000038,false,1802,1900,B1690ALD
00000038,true,1901,1999,B1690ALE
00000038,false,1902,2000,B1690ALF
00000038,true,2001,2099,B1690ALG
00000038,false,2002,2100,B1690ALH
00000039,true,1701,1799,B1690AMA
00000039,false,1702,1800,B1690AMB
00000039,true,1801,1899,B1690AMC
00000039,false,1802,1900,B1690AMD
00000039,true,1901,1999,B1690AME
00000039,false,1902,2000,B1690AMF
00000040,true,9701,9799,B1690ANA
00000040,true,9801,9899,B1690ANC
00000040,true,9901,9999,B1690ANE
00000040,true,10001,10099,B1690ANG
00000040,true,10101,10199,B1690ANI
00000040,true,10201,10299,B1690ANK
00000040,true,10301,10399,B1690ANM
00000040,true,10401,10499,B1690ANQ
00000040,true,10501,10599,B1690ANS
00000041,true,1701,1799,B1690APA
00000041,false,1702,1800,B1690APB
00000041,true,1801,1899,B1690APC
00000041,false,1802,1900,B1690APD
00000041,true,1901,1999,B1690APE
00000041,false,1902,2000,B1690APF
00000041,true,2001,2099,B1690APG
00000041,false,2002,2100,B1690APH
00000042,false,9702,9800,B1690AFN
00000042,false,9802,9900,B1690AFO
00000042,false,9902,10000,B1690AFP
00000042,false,10002,10100,B1690AFQ
00000042,false,10102,10200,B1690AFR
00000042,false,10202,10300,B1690AFS
00000042,false,10302,10400,B1690AFT
00000042,false,10402,10500,B1690AFU
00000042,false,10502,10600,B1690AFV
00000042,false,10602,10700,B1690AFW
00000042,false,10702,10800,B1690AFX
00000042,false,10802,10900,B1690AFY
00000043,true,9701,9799,B1690AQA
00000043,false,9702,9800,B1690AQB
00000043,true,9801,9899,B1690AQC
00000043,false,9802,9900,B1690AQD
00000043,true,9901,9999,B1690AQE
00000043,false,9902,10000,B1690AQF
00000043,true,10001,10099,B1690AQG
00000043,false,10002,10100,B1690AQH
00000043,true,10101,10199,B1690AQI
00000043,false,10102,10200,B1690AQJ
00000043,true,10201,10299,B1690AQK
00000043,false,10202,10300,B1690AQL
00000043,true,10301,10399,B1690AQM
00000043,false,10302,10400,B1690AQN
00000043,true,10401,10499,B1690AQO
00000043,false,10402,10500,B1690AQP
00000043,true,10501,10599,B1690AQQ
00000043,false,10502,10600,B1690AQR
00000043,true,10601,10699,B1690AQS
00000043,false,10602,10700,B1690AQT
00000043,true,10701,10799,B1690AQU
00000043,false,10702,10800,B1690AQV
00000044,true,1701,1799,B1690ARA
00000044,false,1702,1800,B1690ARB
00000044,true,1801,1899,B1690ARC
00000044,false,1802,1900,B1690ARD
00000044,true,1901,1999,B1690ARE
00000044,false,1902,2000,B1690ARF
00000044,true,2001,2099,B1690ARG
00000044,false,2002,2100,B1690ARH
00000044,true,2101,2199,B1690ARI
00000044,false,2102,2200,B1690ARJ
00000044,true,2201,2299,B1690ARK
00000044,false,2202,2300,B1690ARL
00000044,true,2301,2399,B1690ARM
00000044,false,2302,2400,B1690ARN
00000044,true,2401,2499,B1690ARO
00000044,false,2402,2500,B1690ARP
00000045,true,10301,10399,B1690AIA
00000045,false,10302,10400,B1690AIB
00000045,true,10401,10499,B1690AIC
00000045,false,10402,10500,B1690AID
00000045,true,10501,10599,B1690AIE
00000045,false,10502,10600,B1690AIF
00000046,true,1701,1799,B1690ASA
00000046,false,1702,1800,B1690ASB
00000046,true,1801,1899,B1690ASC
00000046,false,1802,1900,B1690ASD
00000046,true,1901,1999,B1690ASE
00000046,false,1902,2000,B1690ASF
00000046,true,2001,2099,B1690ASG
00000046,false,2002,2100,B1690ASH
00000047,true,1701,1799,B1690AUA
00000047,false,1702,1800,B1690AUB
00000047,true,1801,1899,B1690AUC
00000047,false,1802,1900,B1690AUD
00000047,true,1901,1999,B1690AUE
00000047,false,1902,2000,B1690AUF
00000047,true,2001,2099,B1690AUG
00000047,false,2002,2100,B1690AUH
00000048,true,1901,1999,B1690AVA
00000048,false,1902,2000,B1690AVB
00000048,true,2001,2099,B1690AVC
00000048,false,2002,2100,B1690AVD
00000049,true,1701,1799,B1690AWA
00000049,false,1702,1800,B1690AWB
00000049,true,1801,1899,B1690AWC
00000049,false,1802,1900,B1690AWD
00000049,true,1901,1999,B1690AWE
00000049,false,1902,2000,B1690AWF
00000049,true,2001,2099,B1690AWG
00000049,false,2002,2100,B1690AWH
00000050,true,9701,9799,B1690AAA
00000050,false,9702,9800,B1690AAB
00000050,true,9801,9899,B1690AAC
00000050,false,9802,9900,B1690AAD
00000050,true,9901,9999,B1690AAE
00000050,false,9902,10000,B1690AAF
00000050,true,10001,10099,B1690AAG
00000050,false,10002,10100,B1690AAH
00000050,true,10101,10199,B1690AAI
00000050,false,10102,10200,B1690AAJ
00000050,true,10201,10299,B1690AAK
00000050,false,10202,10300,B1690AAL
00000050,true,10301,10399,B1690AAM
00000050,false,10302,10400,B1690AAN
00000050,true,10401,10499,B1690AAO
00000050,false,10402,10500,B1690AAP
00000050,true,10501,10599,B1690AAQ
00000050,false,10502,10600,B1690AAR
00000050,true,10601,10699,B1690AAS
00000050,false,10602,10700,B1690AAT
00000050,true,10701,10799,B1690AAU
00000050,false,10702,10800,B1690AAV
00000051,true,1701,1799,B1690AYA
00000051,false,1702,1800,B1690AYN
00000051,true,1801,1899,B1690AYB
00000051,false,1802,1900,B1690AYO
00000051,true,1901,1999,B1690AYC
00000051,false,1902,2000,B1690AYP
00000051,true,2001,2099,B1690AYD
00000051,false,2002,2100,B1690AYQ
00000052,true,10201,10299,B1691AAA
00000052,true,10301,10399,B1691AAB
00000052,true,10401,10499,B1691AAC
00000052,true,10501,10599,B1691AAD
00000052,true,10601,10699,B1691AAE
00000052,true,10701,10799,B1691AAF
00000052,true,10801,10899,B1691AAG
00000052,true,10901,10999,B1691AAH
00000053,true,1401,1499,B1691AIA
00000053,false,1402,1500,B1691AIN
00000053,true,1501,1599,B1691AIB
00000053,false,1502,1600,B1691AIO
00000053,true,1601,1699,B1691AIC
00000053,false,1602,1700,B1691AIP
00000054,false,10002,10100,B1691ADB
00000054,false,10102,10200,B1691ADD
00000054,false,10202,10300,B1691ADF
00000054,false,10302,10400,B1691ADH
00000054,false,10402,10500,B1691ADJ
00000054,false,10502,10600,B1691ADL
00000054,false,10602,10700,B1691ADN
00000054,false,10702,10800,B1691ADP
00000054,false,10802,10900,B1691ADR
00000054,false,10902,11000,B1691ADT
00000055,true,10101,10199,B1691ACA
00000055,false,10102,10200,B1691ACB
00000055,true,10201,10299,B1691ACC
00000055,false,10202,10300,B1691ACD
00000055,true,10301,10399,B1691ACE
00000055,false,10302,10400,B1691ACF
00000055,true,10401,10499,B1691ACG
00000055,false,10402,10500,B1691ACH
00000055,true,10501,10599,B1691ACI
00000055,false,10502,10600,B1691ACJ
00000055,true,10601,10699,B1691ACK
00000055,false,10602,10700,B1691ACL
00000055,true,10701,10799,B1691ACM
00000055,false,10702,10800,B1691ACN
00000055,true,10801,10899,B1691ACO
00000055,false,10802,10900,B1691ACP
00000056,true,10101,10199,B1691ABA
00000056,false,10102,10200,B1691ABB
00000056,true,10201,10299,B1691ABC
00000056,false,10202,10300,B1691ABD
00000056,true,10301,10399,B1691ABE
00000056,false,10302,10400,B1691ABF
00000056,true,10401,10499,B1691ABG
00000056,false,10402,10500,B1691ABH
00000056,true,10501,10599,B1691ABI
00000056,false,10502,10600,B1691ABJ
00000056,true,10601,10699,B1691ABK
00000056,false,10602,10700,B1691ABL
00000056,true,10701,10799,B1691ABM
00000056,false,10702,10800,B1691ABN
00000056,true,10801,10899,B1691ABO
00000056,false,10802,10900,B1691ABP
00000057,true,1401,1499,B1691AMA
00000057,false,1402,1500,B1691AMB
00000057,true,1501,1599,B1691AMC
00000057,false,1502,1600,B1691AMD
00000058,true,1401,1499,B1691ALA
00000058,false,1402,1500,B1691ALB
00000058,true,1501,1599,B1691ALC
00000058,false,1502,1600,B1691ALD
00000058,true,1601,1699,B1691ALE
00000058,false,1602,1700,B1691ALF
00000059,true,1401,1499,B1691AKC
00000059,false,1402,1500,B1691AKD
00000059,true,1501,1599,B1691AKE
00000059,false,1502,1600,B1691AKF
00000059,true,1601,1699,B1691AKG
00000059,false,1602,1700,B1691AKH
00000060,true,1401,1499,B1691AJA
00000060,false,1402,1500,B1691AJB
00000060,true,1501,1599,B1691AJC
00000060,false,1502,1600,B1691AJD
00000060,true,1601,1699,B1691AJE
00000060,false,1602,1700,B1691AJF
00000061,true,1401,1499,B1691AHA
00000061,false,1402,1500,B1691AHB
00000061,true,1501,1599,B1691AHC
00000061,false,1502,1600,B1691AHD
00000061,true,1601,1699,B1691AHE
00000061,false,1602,1700,B1691AHF
00000062,true,1401,1499,B1691AGA
00000062,false,1402,1500,B1691AGB
00000062,true,1501,1599,B1691AGC
00000062,false,1502,1600,B1691AGD
00000062,true,1601,1699,B1691AGE
00000062,false,1602,1700,B1691AGF
00000063,true,1401,1499,B1691AFA
00000063,false,1402,1500,B1691AFB
00000063,true,1501,1599,B1691AFC
00000063,false,1502,1600,B1691AFD
00000063,true,1601,1699,B1691AFE
00000063,false,1602,1700,B1691AFF
00000064,true,1401,1499,B1691AIA
00000064,false,1402,1500,B1691AIN
00000064,true,1501,1599,B1691AIB
00000064,false,1502,1600,B1691AIO
00000064,true,1601,1699,B1691AIC
00000064,false,1602,1700,B1691AIP
00000065,true,10101,10199,B1691ABA
00000065,false,10102,10200,B1691ABB
00000065,true,10201,10299,B1691ABC
00000065,false,10202,10300,B1691ABD
