Localidad,CPA
loma-redonda,U9105XAH
loreto,U9121XBM
los-altares,U9207XAJ
los-cipreses,U9203XAA
los-corralitos,U9225XAF
los-manantiales,U9207XAJ
los-tamariscos,U9031XAA
maesteg,U9105XAH
malaspina,U9111XAD
mallin-blanco,U9201XAB
mallin-grande,U9121XBM
mallin-grande-corcovado,U9121XBM
manantial-grande,U9020XAO
manantiales-behr,Buscar CPA
mata-grande,U9220XAF
matucana,U9200XAC
mayoco,U9200XAC
medanos,U9121XBM
nahuel-pan-estacion-fcgr,U9200XAC
niriguao,U9225XAF
niriguce-pampa,U9225XAF
norquinco-sud,R8415XAL
painaluf,U9121XBM
pampa-de-agnia,U9201XAB
pampa-del-castillo,Buscar CPA
pampa-pelada,U9111XAD
pampa-salamanca,U9111XAD
pampa-tepuel,U9201XAB
paraje-entre-rios,U9211XAA
parque-nacional-los-alerces,U9201XAB
paso-de-indios,U9207XAJ
paso-de-torres,U9020XAO
paso-del-sapo,U9201XAB
paso-moreno,U9033XAI
pastos-blancos,U9033XAA
pico-salamanca,Buscar CPA
piedra-parada,U9201XAB
piedra-shotel,U9033XAI
pirre-mahuida,U9121XBM
playa-union,U9103XAC
pocitos-de-quichaura,U9201XAB
puente-hendre,U9101XAB
puerto-lobos,R8532XAA
puerto-madryn,U9120XAC
puerto-piramides,U9121XBM
puerto-san-roman,U9121XBM
punta-bajos,U9121XBM
punta-delgada,U9121XBM
punta-ninfas,U9120XAC
punta-norte,U9121XBM
punta-quiroga,U9120XAC
putrachoique,U9225XAF
rada-tilly,U9001XAA
ranquil-huao,U9213XAF
rawson,U9103XAC
rio-carrileufu,Buscar CPA
rio-chico,U9111XAD
rio-corinto,U9203XAA
rio-frias,U9033XAI
rio-pico,U9225XAG
ruta-3-kilometro-1646,U9111XAB
ruta-3-kilometro-1711,U9111XAD
sacanana,U9121XBM
salinas-chicas,U9121XBM
salinas-grandes,U9121XBM
san-jose,U9121XBM
sarmiento,U9020XAO
seprucal,U9121XBM
siempre-viva,U9213XAF
sierra-chata,U9121XBM
sierra-chica,U9121XBM
sierra-colorada,U9111XAD
sierra-corrientes,U9020XAO
sierra-cuadrada,U9111XAD
sierra-de-tecka,U9200XAC
sierra-nevada-buen-pasto,U9023XAC
sierra-nevada-paso-de-indios,U9207XAJ
sierra-overa-chicas-y-grandes,U9111XAD
sierra-rosada,U9121XBM
sierra-victoria,U9020XAO
sol-de-mayo,U9103XAC
sunica,U9200XAC
talagapa,U9121XBM
taquetren,U9201XAB
tatuen,U9121XBM
tecka,U9201XAB
telsen,U9121XBM
toma-de-los-canales,U9107XAD
toro-hosco,U9207XAJ
trelew,U9100XAD
treorki,U9105XAH
tres-picos,U9225XAF
trevelin,U9203XAA
uzcudun,U9111XAD
valle-del-rio-chubut,U9121XBM
valle-del-tecka,U9201XAB
valle-frio,U9203XAA
valle-garin,U9201XAB
valle-hermoso,U9020XAO
valle-huemules,U9039XAD
valle-los-martires,U9105XAH
villa-futalaufquen,U9200XAC
villa-ines,U9105XAH
villa-lago-rivadavia,Buscar CPA
villa-lago-rivadavia,Buscar CPA
