streetId,is0dd,from,until,zip
0001264,true,1101,1199,T4001EPA
0001264,false,1102,1200,T4001EPB
0001264,true,1201,1299,T4001EPC
0001264,false,1202,1300,T4001EPD
0001264,true,1301,1399,T4001EPE
0001264,false,1302,1400,T4001EPF
0001264,true,1701,1799,T4001EQA
0001264,false,1702,1800,T4001EQB
0001264,true,1801,1899,T4001EQC
0001264,false,1802,1900,T4001EQD
0001264,true,1901,1999,T4001EQE
0001264,false,1902,2000,T4001EQF
0001264,true,2001,2099,T4001EQG
0001264,false,2002,2100,T4001EQH
0000003,true,1,99,T4000KAA
0000003,false,2,100,T4000KAB
0000003,true,101,199,T4000KAC
0000003,false,102,200,T4000KAD
0000003,true,201,299,T4000KAE
0000003,false,202,300,T4000KAF
0000003,true,301,399,T4000KAG
0000003,false,302,400,T4000KAH
0000003,true,401,499,T4000KAI
0000003,false,402,500,T4000KAJ
0000003,true,501,599,T4000KAM
0000003,false,502,600,T4000KAN
0000003,true,601,699,T4000KAO
0000003,false,602,700,T4000KAP
0000003,true,701,799,T4000KAQ
0000003,false,702,800,T4000KAR
0000003,true,801,899,T4000KAS
0000003,false,802,900,T4000KAT
0000003,true,901,999,T4002LCA
0000003,false,902,1000,T4002LCB
0000003,true,1001,1099,T4002LCC
0000003,false,1002,1100,T4002LCD
0000003,true,1101,1199,T4002LCE
0000003,false,1102,1200,T4002LCF
0000003,true,1201,1299,T4002LCG
0000003,false,1202,1300,T4002LCH
0000003,true,1301,1399,T4002LCI
0000003,false,1302,1400,T4002LCJ
0000003,true,1401,1499,T4002LCK
0000003,false,1402,1500,T4002LCL
0000003,true,1501,1599,T4002LCM
0000003,false,1502,1600,T4002LCN
0000003,true,1601,1699,T4002LCO
0000003,false,1602,1700,T4002LCP
0000003,true,1701,1799,T4002LCQ
0000003,false,1702,1800,T4002LCR
0000003,true,1801,1899,T4002LCS
0000003,false,1802,1900,T4002LCT
0000003,true,1901,1999,T4002LCU
0000003,false,1902,2000,T4002LCV
0000003,true,2001,2099,T4002LCW
0000003,false,2002,2100,T4002LCX
0000003,true,2101,2199,T4002LCY
0000003,false,2102,2200,T4002LCZ
0000003,true,2201,2299,T4002LDA
0000003,false,2202,2300,T4002LDB
0000003,true,2301,2399,T4002LDC
0000003,false,2302,2400,T4002LDD
0000003,true,2401,2499,T4002LDE
0000003,false,2402,2500,T4002LDF
0000003,true,2501,2599,T4002LDG
0000003,false,2502,2600,T4002LDH
0000003,true,2601,2699,T4002LDI
0000003,false,2602,2700,T4002LDJ
0000003,true,2701,2799,T4002LDK
0000003,false,2702,2800,T4002LDL
0001899,true,1,99,T4000JMA
0001899,false,2,100,T4000JMB
0001899,true,101,199,T4000JMC
0001899,false,102,200,T4000JMD
0001899,true,201,299,T4000JME
0001899,false,202,300,T4000JMF
0001899,true,301,399,T4000JMG
0001899,false,302,400,T4000JMH
0001899,true,401,499,T4000JMI
0001899,false,402,500,T4000JMJ
0001899,true,501,599,T4000JMK
0001899,false,502,600,T4000JML
0001899,true,601,699,T4000JMM
0001899,false,602,700,T4000JMN
0001899,true,701,799,T4000JMO
0001899,false,702,800,T4000JMP
0001899,true,801,899,T4000JMQ
0001899,false,802,900,T4000JMR
0001899,true,901,999,T4002KTA
0001899,false,902,1000,T4002KTB
0001899,true,1001,1099,T4002KTC
0001899,false,1002,1100,T4002KTD
0001899,true,1101,1199,T4002KTE
0001899,false,1102,1200,T4002KTF
0001899,true,1201,1299,T4002KTG
0001899,false,1202,1300,T4002KTH
0001899,true,1301,1399,T4002KTI
0001899,false,1302,1400,T4002KTJ
0001899,true,1401,1499,T4002KTK
0001899,false,1402,1500,T4002KTL
0001899,true,1501,1599,T4002KTM
0001899,false,1502,1600,T4002KTN
0001899,true,1601,1699,T4002KTO
0001899,false,1602,1700,T4002KTP
0001899,true,1701,1799,T4002KTQ
0001899,false,1702,1800,T4002KTR
0001899,true,1801,1899,T4002KTS
0001899,false,1802,1900,T4002KTT
0001899,true,1901,1999,T4002KTU
0001899,false,1902,2000,T4002KTV
0001899,true,2001,2099,T4002KTW
0001899,false,2002,2100,T4002KTX
0001899,true,2101,2199,T4002KTY
0001899,false,2102,2200,T4002KTZ
0001899,true,2201,2299,T4002KUA
0001899,false,2202,2300,T4002KUB
0001899,true,2301,2399,T4002KUC
0001899,false,2302,2400,T4002KUD
0001899,true,2401,2499,T4002KUE
0001899,false,2402,2500,T4002KUF
