Pasaje Parana,1101,1199,números impares,T4001EPA,San Miguel de Tucuman
Pasaje Parana,1102,1200,números pares,T4001EPB,San Miguel de Tucuman
Pasaje Parana,1201,1299,números impares,T4001EPC,San Miguel de Tucuman
Pasaje Parana,1202,1300,números pares,T4001EPD,San Miguel de Tucuman
Pasaje Parana,1301,1399,números impares,T4001EPE,San Miguel de Tucuman
Pasaje Parana,1302,1400,números pares,T4001EPF,San Miguel de Tucuman
Pasaje Parana,1701,1799,números impares,T4001EQA,San Miguel de Tucuman
Pasaje Parana,1702,1800,números pares,T4001EQB,San Miguel de Tucuman
Pasaje Parana,1801,1899,números impares,T4001EQC,San Miguel de Tucuman
Pasaje Parana,1802,1900,números pares,T4001EQD,San Miguel de Tucuman
Pasaje Parana,1901,1999,números impares,T4001EQE,San Miguel de Tucuman
Pasaje Parana,1902,2000,números pares,T4001EQF,San Miguel de Tucuman
Pasaje Parana,2001,2099,números impares,T4001EQG,San Miguel de Tucuman
Pasaje Parana,2002,2100,números pares,T4001EQH,San Miguel de Tucuman
Calle Amador Lucero,1,99,números impares,T4000KAA,San Miguel de Tucuman
Calle Amador Lucero,2,100,números pares,T4000KAB,San Miguel de Tucuman
Calle Amador Lucero,101,199,números impares,T4000KAC,San Miguel de Tucuman
Calle Amador Lucero,102,200,números pares,T4000KAD,San Miguel de Tucuman
Calle Amador Lucero,201,299,números impares,T4000KAE,San Miguel de Tucuman
Calle Amador Lucero,202,300,números pares,T4000KAF,San Miguel de Tucuman
Calle Amador Lucero,301,399,números impares,T4000KAG,San Miguel de Tucuman
Calle Amador Lucero,302,400,números pares,T4000KAH,San Miguel de Tucuman
Calle Amador Lucero,401,499,números impares,T4000KAI,San Miguel de Tucuman
Calle Amador Lucero,402,500,números pares,T4000KAJ,San Miguel de Tucuman
Calle Amador Lucero,501,599,números impares,T4000KAM,San Miguel de Tucuman
Calle Amador Lucero,502,600,números pares,T4000KAN,San Miguel de Tucuman
Calle Amador Lucero,601,699,números impares,T4000KAO,San Miguel de Tucuman
Calle Amador Lucero,602,700,números pares,T4000KAP,San Miguel de Tucuman
Calle Amador Lucero,701,799,números impares,T4000KAQ,San Miguel de Tucuman
Calle Amador Lucero,702,800,números pares,T4000KAR,San Miguel de Tucuman
Calle Amador Lucero,801,899,números impares,T4000KAS,San Miguel de Tucuman
Calle Amador Lucero,802,900,números pares,T4000KAT,San Miguel de Tucuman
Calle Amador Lucero,901,999,números impares,T4002LCA,San Miguel de Tucuman
Calle Amador Lucero,902,1000,números pares,T4002LCB,San Miguel de Tucuman
Calle Amador Lucero,1001,1099,números impares,T4002LCC,San Miguel de Tucuman
Calle Amador Lucero,1002,1100,números pares,T4002LCD,San Miguel de Tucuman
Calle Amador Lucero,1101,1199,números impares,T4002LCE,San Miguel de Tucuman
Calle Amador Lucero,1102,1200,números pares,T4002LCF,San Miguel de Tucuman
Calle Amador Lucero,1201,1299,números impares,T4002LCG,San Miguel de Tucuman
Calle Amador Lucero,1202,1300,números pares,T4002LCH,San Miguel de Tucuman
Calle Amador Lucero,1301,1399,números impares,T4002LCI,San Miguel de Tucuman
Calle Amador Lucero,1302,1400,números pares,T4002LCJ,San Miguel de Tucuman
