id,type,name,localityId
0000130,Calle,Calle Lavalle,0000708
0000131,Calle,Calle Ecuador,0001620
0000132,Calle,Calle Alsina,0001413
0000133,Calle,Calle 3,0000742
0000134,Calle,Calle Dr Juan Brigido Teran,0001449
0000135,Calle,Calle Dante Alighieri,0001369
0000136,Calle,Calle Zenon Santillan,0001369
0000137,Pasaje,Calle Ricardo Rojas,0001637
0000138,Calle,Calle Las Heras,0001445
0000139,Avenida,Diagonal Sin Nombre,0001369
0000140,Calle,Calle 1 de Mayo,0000760
0000141,Calle,Calle 19,0001615
0000142,Pasaje,Pasaje Independencia,0001615
0000143,Pasaje,Calle 1,0000742
0000144,Pasaje,Avenida San Martin,0001516
0000145,Calle,Calle Juan de Lamadrid,0000081
0000146,Calle,Calle 72 A,0001369
0000147,Calle,Pasaje Pje 7,0001369
0000148,Calle,Pasaje Marcos Paz,0001637
0000149,Calle,Pasaje Malvinas,0000113
0000150,Calle,Calle Fleming,0001369
0000151,Calle,Calle Los Andes,0000082
0000152,Pasaje,Calle Claudia Velez de Cano,0001455
0000153,Pasaje,Calle Dr Dean F Salcedo,0000113
0000154,Calle,Calle Alejandro Heredia,0000391
0000155,Pasaje,Calle Maipu,0000911
0000156,Calle,Calle Provincia de San Juan,0001369
0000157,Calle,Pasaje Vasco Nuñez de Balboa,0001369
0000158,Calle,Pasaje Pirovano,0001369
0000159,Calle,Calle Bruselas,0001620
0000160,Calle,Pasaje Jorge Luis Borges,0001157
0000161,Pasaje,Calle Gral Guemes,0001157
0000162,Calle,Calle Teniente Barcelo,0000567
0000163,Calle,Calle 2,0000787
0000164,Calle,Calle Larrea Este,0001620
0000165,Pasaje,Calle S/N 4,0000607
0000166,Calle,Pasaje Alfredo B Nobel,0001369
0000167,Calle,Calle 12 de Octubre,0001485
0000168,Pasaje,Calle Pbto Manuel Ballesteros,0000113
0000169,Calle,Calle 24 Se,0001369
0000170,Calle,Pasaje Gustavo Adolfo Becquer,0001369
0000171,Pasaje,Calle Moises Baracat,0000911
0000172,Calle,Calle Pte M T de Alvear,0000113
0000173,Calle,Pasaje Baltazar Aguirre,0001369
0000174,Pasaje,Calle Jose Abel Gomez,0001637
0000175,Calle,Calle Araoz,0001413
0000176,Calle,Pasaje Lucia Araoz,0001369
0000177,Pasaje,Calle Cap Ramallo,0000567
0000178,Calle,Calle Buenos Aires,0000707
0000179,Calle,Pasaje Pje 1,0000376
0000180,Calle,Calle 32,0001369
0000181,Calle,Calle 9 de Julio,0000113
0000182,Calle,Pasaje Caseros,0001369
0000183,Calle,Calle Francisco de Laprida,0001369
0000184,Calle,Calle Jose Ignacio Gorriti,0001620
0000185,Pasaje,Calle Miguel Lillo,0001637
0000186,Pasaje,Calle Antonio de Espinoza,0000391
0000187,Pasaje,Diagonal Diag 4,0001369
0000188,Calle,Calle San Lorenzo Este,0001620
0000189,Calle,Calle Carrizo,0001369
0000190,Calle,Calle Jose s Malabia,0001369
0000191,Calle,Pasaje Pje 10,0001369
