CP,Provincia,Localidad
1156,Capital Federal,CABA - San Telmo
1157,Capital Federal,CABA - San Telmo
1158,Capital Federal,CABA - San Telmo
1159,Capital Federal,CABA - La Boca
1160,Capital Federal,CABA - La Boca
1161,Capital Federal,CABA - La Boca
1162,Capital Federal,CABA - La Boca
1163,Capital Federal,CABA - La Boca
1164,Capital Federal,CABA - La Boca
1165,Capital Federal,CABA - La Boca
1166,Capital Federal,CABA - La Boca
1167,Capital Federal,CABA - La Boca
1168,Capital Federal,CABA - La Boca
1169,Capital Federal,CABA - La Boca
1170,Capital Federal,CABA - Balvanera
1171,Capital Federal,CABA - Balvanera
1172,Capital Federal,CABA - Almagro
1173,Capital Federal,CABA - Balvanera
1174,Capital Federal,CABA - Almagro
1175,Capital Federal,CABA - Almagro
1176,Capital Federal,CABA - Almagro
1177,Capital Federal,CABA - Almagro
1178,Capital Federal,CABA - Almagro
1179,Capital Federal,CABA - Almagro
1180,Capital Federal,CABA - Almagro
1181,Capital Federal,CABA - Almagro
1182,Capital Federal,CABA - Almagro
1183,Capital Federal,CABA - Almagro
1184,Capital Federal,CABA - Almagro
1185,Capital Federal,CABA - Almagro
1186,Capital Federal,CABA - Balvanera
1187,Capital Federal,CABA - Balvanera
1188,Capital Federal,CABA - Balvanera
1189,Capital Federal,CABA - Balvanera
1190,Capital Federal,CABA - Balvanera
1191,Capital Federal,CABA - Almagro
1192,Capital Federal,CABA - Almagro
1193,Capital Federal,CABA - Balvanera
1194,Capital Federal,CABA - Almagro
1195,Capital Federal,CABA - Almagro
1196,Capital Federal,CABA - Almagro
1197,Capital Federal,CABA - Almagro
1198,Capital Federal,CABA - Balvanera
1199,Capital Federal,CABA - Almagro
1200,Capital Federal,CABA - Almagro
1201,Capital Federal,CABA - Almagro
1202,Capital Federal,CABA - Almagro
1203,Capital Federal,CABA - Balvanera
1204,Capital Federal,CABA - Almagro
1205,Capital Federal,CABA - Almagro
1206,Capital Federal,CABA - Balvanera
1207,Capital Federal,CABA - Balvanera
1208,Capital Federal,CABA - Balvanera
1209,Capital Federal,CABA - Balvanera
1210,Capital Federal,CABA - Almagro
1211,Capital Federal,CABA - Balvanera
1212,Capital Federal,CABA - Almagro
1213,Capital Federal,CABA - Balvanera
1214,Capital Federal,CABA - Balvanera
1215,Capital Federal,CABA - Balvanera
1216,Capital Federal,CABA - Almagro
1217,Capital Federal,CABA - Almagro
1218,Capital Federal,CABA - Almagro
1219,Capital Federal,CABA - San Cristobal
1220,Capital Federal,CABA - San Cristobal
1221,Capital Federal,CABA - San Cristobal
1222,Capital Federal,CABA - San Cristobal
1223,Capital Federal,CABA - Balvanera
1224,Capital Federal,CABA - Balvanera
1225,Capital Federal,CABA - San Cristobal
1226,Capital Federal,CABA - Boedo
1227,Capital Federal,CABA - San Cristobal
1228,Capital Federal,CABA - Boedo
1229,Capital Federal,CABA - San Cristobal
1230,Capital Federal,CABA - San Cristobal
1231,Capital Federal,CABA - San Cristobal
1232,Capital Federal,CABA - San Cristobal
1233,Capital Federal,CABA - Boedo
1234,Capital Federal,CABA - Almagro
1235,Capital Federal,CABA - Boedo
1236,Capital Federal,CABA - Boedo
1237,Capital Federal,CABA - Boedo
1238,Capital Federal,CABA - Boedo
1239,Capital Federal,CABA - Boedo
1240,Capital Federal,CABA - Boedo
1241,Capital Federal,CABA - Boedo
1242,Capital Federal,CABA - Boedo
1243,Capital Federal,CABA - Boedo
1244,Capital Federal,CABA - San Cristobal
1245,Capital Federal,CABA - San Cristobal
1246,Capital Federal,CABA - San Cristobal
1247,Capital Federal,CABA - San Cristobal
1248,Capital Federal,CABA - San Cristobal
1249,Capital Federal,CABA - San Cristobal
1250,Capital Federal,CABA - Almagro
1251,Capital Federal,CABA - San Cristobal
1252,Capital Federal,CABA - San Cristobal
1253,Capital Federal,CABA - San Cristobal
1254,Capital Federal,CABA - San Cristobal
1255,Capital Federal,CABA - Parque Patricios
1256,Capital Federal,CABA - Parque Patricios
1257,Capital Federal,CABA - Almagro
1258,Capital Federal,CABA - San Cristobal
1259,Capital Federal,CABA - San Cristobal
1260,Capital Federal,CABA - San Cristobal
1261,Capital Federal,CABA - Parque Patricios
1262,Capital Federal,CABA - Parque Patricios
1263,Capital Federal,CABA - Parque Patricios
1264,Capital Federal,CABA - Parque Patricios
1265,Capital Federal,CABA - Constitucion
1266,Capital Federal,CABA - Constitucion
1267,Capital Federal,CABA - Constitucion
1268,Capital Federal,CABA - Constitucion
1269,Capital Federal,CABA - Barracas
1270,Capital Federal,CABA - Barracas
1271,Capital Federal,CABA - Barracas
1272,Capital Federal,CABA - Barracas
1273,Capital Federal,CABA - Barracas
1274,Capital Federal,CABA - Barracas
1275,Capital Federal,CABA - Constitucion
1276,Capital Federal,CABA - Barracas
1277,Capital Federal,CABA - Barracas
1278,Capital Federal,CABA - Barracas
1279,Capital Federal,CABA - Barracas
1280,Capital Federal,CABA - Barracas
1281,Capital Federal,CABA - Barracas
1282,Capital Federal,CABA - Barracas
1283,Capital Federal,CABA - Constitucion
1284,Capital Federal,CABA - Barracas
1285,Capital Federal,CABA - Barracas
1286,Capital Federal,CABA - Barracas
1287,Capital Federal,CABA - Barracas
1288,Capital Federal,CABA - Barracas
1289,Capital Federal,CABA - Barracas
1290,Capital Federal,CABA - Barracas
1291,Capital Federal,CABA - Barracas
1292,Capital Federal,CABA - Barracas
1293,Capital Federal,CABA - Barracas
1294,Capital Federal,CABA - Barracas
1295,Capital Federal,CABA - Barracas
1296,Capital Federal,CABA - Barracas
1298,Capital Federal,Ciudad Autonoma Buenos Aires
1300,Capital Federal,Ciudad Autonoma Buenos Aires
1301,Capital Federal,Ciudad Autonoma Buenos Aires
1302,Capital Federal,Ciudad Autonoma Buenos Aires
1303,Capital Federal,Ciudad Autonoma Buenos Aires
1304,Capital Federal,Ciudad Autonoma Buenos Aires
1305,Capital Federal,Ciudad Autonoma Buenos Aires
1306,Capital Federal,Ciudad Autonoma Buenos Aires
1307,Capital Federal,Ciudad Autonoma Buenos Aires
1308,Capital Federal,Ciudad Autonoma Buenos Aires
1309,Capital Federal,Ciudad Autonoma Buenos Aires
1310,Capital Federal,Ciudad Autonoma Buenos Aires
1311,Capital Federal,Ciudad Autonoma Buenos Aires
1312,Capital Federal,Ciudad Autonoma Buenos Aires
1313,Capital Federal,Ciudad Autonoma Buenos Aires
1314,Capital Federal,Ciudad Autonoma Buenos Aires
1315,Capital Federal,Ciudad Autonoma Buenos Aires
1316,Capital Federal,Ciudad Autonoma Buenos Aires
1317,Capital Federal,Ciudad Autonoma Buenos Aires
1318,Capital Federal,Ciudad Autonoma Buenos Aires
