CP,Provincia,Localidad
3749,Santiago Del Estero,Campo Alegre
3749,Santiago Del Estero,Campo Del Aguila
3749,Santiago Del Estero,Campo Verde
3749,Santiago Del Estero,Chainima
3749,Santiago Del Estero,Chañar Pozo
3749,Santiago Del Estero,Cuquero
3749,Santiago Del Estero,Dos Varones
3749,Santiago Del Estero,El Cambiado
3749,Santiago Del Estero,El Colmenar
3749,Santiago Del Estero,El Corrido
3749,Santiago Del Estero,El Oscuro
3749,Santiago Del Estero,El Rosario
3749,Santiago Del Estero,El Traslado
3749,Santiago Del Estero,El Valle
3749,Santiago Del Estero,El Valle D Oriente
3749,Santiago Del Estero,Hazan Villa
3749,Santiago Del Estero,La Argentina
3749,Santiago Del Estero,La Armonia
3749,Santiago Del Estero,La Cañada
3749,Santiago Del Estero,La Defensa
3749,Santiago Del Estero,La Esperanza
3749,Santiago Del Estero,La Union
3749,Santiago Del Estero,Las Aguilas
3749,Santiago Del Estero,Los Carrizos
3749,Santiago Del Estero,Maidana
3749,Santiago Del Estero,Maravilla
3749,Santiago Del Estero,Monte Rico
3749,Santiago Del Estero,Nuevo Libano
3749,Santiago Del Estero,Nuevo Lujan
3749,Santiago Del Estero,Palermo
3749,Santiago Del Estero,Parana
3749,Santiago Del Estero,Rivadavia
3749,Santiago Del Estero,San Carlos
3749,Santiago Del Estero,San Juan
3749,Santiago Del Estero,Santa Rosa
3749,Santiago Del Estero,Vinal Pozo
3752,Santiago Del Estero,El Mistol
3752,Santiago Del Estero,Kilometro 499
3752,Santiago Del Estero,Nasalo
3752,Santiago Del Estero,Noge
3752,Santiago Del Estero,Pozo Colorado
3752,Santiago Del Estero,Puna
3752,Santiago Del Estero,Quebracho Pintado
3752,Santiago Del Estero,Retiro San Pablo
3752,Santiago Del Estero,Tobas
3752,Santiago Del Estero,Vilelas
3753,Santiago Del Estero,Vilelas
3760,Santiago Del Estero,28 De Marzo
3760,Santiago Del Estero,Añatuya
3760,Santiago Del Estero,Barrio La Leñera
3760,Santiago Del Estero,Barrio V Fernandez
3760,Santiago Del Estero,Binal Esquina
3760,Santiago Del Estero,Coronel Barros
3760,Santiago Del Estero,Cuatro Bocas
3760,Santiago Del Estero,El Mataco
3760,Santiago Del Estero,Kilometro 515
3760,Santiago Del Estero,La Encalada
3760,Santiago Del Estero,La Esmeralda
3760,Santiago Del Estero,La Estancia
3760,Santiago Del Estero,Lote 15
3760,Santiago Del Estero,Puni Tajo
3760,Santiago Del Estero,Santa Ana
3760,Santiago Del Estero,Simbol Bajo
3760,Santiago Del Estero,Suncho Pozo
3760,Santiago Del Estero,Tinap Jerayoj
3760,Santiago Del Estero,Villa Abregu
3761,Santiago Del Estero,El Malacara
3761,Santiago Del Estero,Los Linares
3761,Santiago Del Estero,Miel De Palo
3761,Santiago Del Estero,Pozo Herrera
3763,Santiago Del Estero,Kilometro 450
3763,Santiago Del Estero,La Simona
3763,Santiago Del Estero,Los Juries
3763,Santiago Del Estero,Obraje Mailin
3763,Santiago Del Estero,Tres De Marzo
3765,Santiago Del Estero,El Cuadrado
3765,Santiago Del Estero,Kilometro 477
3765,Santiago Del Estero,Km 443 Taboada
3765,Santiago Del Estero,La Balanza
3765,Santiago Del Estero,La Nena
3765,Santiago Del Estero,La Reconquista
3765,Santiago Del Estero,Lote 42
3765,Santiago Del Estero,Tomas Young
3766,Santiago Del Estero,Agua Dulce
3766,Santiago Del Estero,Averias
3766,Santiago Del Estero,Gualamba
3766,Santiago Del Estero,Kilometro 433
3766,Santiago Del Estero,Kilometro 454
3766,Santiago Del Estero,La Esmeralda
3766,Santiago Del Estero,Las Flores
3766,Santiago Del Estero,Los Pocitos
3766,Santiago Del Estero,Lote 27 E 286
3766,Santiago Del Estero,Tacañitas
3766,Santiago Del Estero,Tres Pozos
3820,Santiago Del Estero,El Mojon
4000,Santiago Del Estero,E De Zootecnia B
4000,Santiago Del Estero,Los Pinos B
4000,Santiago Del Estero,San Bernardo B
4000,Tucuman,San Miguel De Tucuman
4000,Tucuman,V Zenon Santillan
4001,Tucuman,San Miguel De Tucuman
4002,Tucuman,San Miguel De Tucuman
4003,Tucuman,Pacara
4005,Tucuman,Villa Carmela
4010,Tucuman,Villa Carmela
4011,Catamarca,Santa Maria
4065,Tucuman,Los Sarmientos
4101,Tucuman,A G D V Burruyacu
4101,Tucuman,Agua Negra
4101,Tucuman,Aguadita
4101,Tucuman,Aserradero
4101,Tucuman,Barrio Diagonal
4101,Tucuman,Barrio Rivadavia
4101,Tucuman,Chorrillos
4101,Tucuman,Colonia Los Hills
4101,Tucuman,Colonia San Ramon
4101,Tucuman,Colonia Sarmiento
4101,Tucuman,Cuchillas
4101,Tucuman,E 300 La Picada
4101,Tucuman,E Capitan G De Med
4101,Tucuman,E Exper Agricola
4101,Tucuman,E Fortunata Garcia
4101,Tucuman,E Miguel Azcuenaga
4101,Tucuman,E Miguel Cervantes
4101,Tucuman,E Ramon Carrillo
4101,Tucuman,E S Agricola
4101,Tucuman,El Colmenar
4101,Tucuman,El Mutul
4101,Tucuman,El Timbo
4101,Tucuman,El Zanjon
4101,Tucuman,Escuela 107
4101,Tucuman,Escuela 163
4101,Tucuman,Escuela 164
4101,Tucuman,Escuela 210
4101,Tucuman,Escuela 215
4101,Tucuman,Escuela 218
4101,Tucuman,Escuela 219
4101,Tucuman,Escuela 255
4101,Tucuman,Escuela 256
4101,Tucuman,Escuela 299
4101,Tucuman,Escuela 350
4101,Tucuman,Escuela 393
4101,Tucuman,Escuela 48
4101,Tucuman,Escuela 59
4101,Tucuman,Escuela 70
4101,Tucuman,Granja Modelo
4101,Tucuman,La Aguadita
4101,Tucuman,La Cienaga
4101,Tucuman,La Puerta
4101,Tucuman,Las Moritas
4101,Tucuman,Las Salinas
4101,Tucuman,Las T Tranquitas
4101,Tucuman,Las Talitas
4101,Tucuman,Leo Huasi
4101,Tucuman,Los Hilos
4101,Tucuman,Los Nogales
4101,Tucuman,Los Pocitos
4101,Tucuman,Los Timbos
4101,Tucuman,Matul
4101,Tucuman,Medina
4101,Tucuman,Nio V Padre Monti
4101,Tucuman,Nogalito
4101,Tucuman,Nueva Rosa
4101,Tucuman,Ojo
4101,Tucuman,Ovejeria
4101,Tucuman,P De Palavecino
4101,Tucuman,Potrerillo
4101,Tucuman,Puerta Vieja
4101,Tucuman,Rio Loro
4101,Tucuman,Sunchal
4101,Tucuman,Timbo Nuevo
4101,Tucuman,Timbo Viejo
4101,Tucuman,Tranquitas
4101,Tucuman,Tres Sargentos
4101,Tucuman,V De Los Britos
4101,Tucuman,Vacahuasi
4101,Tucuman,Villa Padre Monti
4101,Tucuman,Villa Rosa
4102,Tucuman,Los Pocitos
4103,Tucuman,Bajo De Raco
4103,Tucuman,C La Esperanza
4103,Tucuman,El Cadillal
4103,Tucuman,El Cuarteadero
4103,Tucuman,El Duraznito
4103,Tucuman,El Pelado
4103,Tucuman,El Tiro Argentino
4103,Tucuman,G Anselmo Rojo
4103,Tucuman,Kilometro 925
4103,Tucuman,La Falda
4103,Tucuman,La Manga
4103,Tucuman,La Picada
4103,Tucuman,La Ramada
4103,Tucuman,La Toma
4103,Tucuman,Laguna Grande
4103,Tucuman,Los Estanques
4103,Tucuman,Los Zaragoza
4103,Tucuman,Luz Y Fuerza
4103,Tucuman,Monasterio
4103,Tucuman,Nueva Esperanza
4103,Tucuman,P Cienaga Amarilla
4103,Tucuman,Pueblo Obrero
4103,Tucuman,Rincon
4103,Tucuman,Tafi Viejo
4103,Tucuman,Taficillo
4103,Tucuman,Talleres Naces
4103,Tucuman,Villa La Colmena
4103,Tucuman,Villa Mitre
4104,Tucuman,El Manantial
4104,Tucuman,Los Pocitos
4105,Tucuman,Abra Del Tafi
4105,Tucuman,Ancajulli
4105,Tucuman,Anfana
4105,Tucuman,C Los Chasales
4105,Tucuman,Calimayo
4105,Tucuman,Camino Del Peru
4105,Tucuman,Campo Redondo
4105,Tucuman,Cevil Redondo
4105,Tucuman,Chasquivil
4105,Tucuman,Colonia Felipe
4105,Tucuman,Colonia Tacapunco
4105,Tucuman,Cuatro Sauces
4105,Tucuman,Curva De Los Vegas
4105,Tucuman,E Antonio Medina
4105,Tucuman,E G De S Mart
4105,Tucuman,E Otilde De Toro
4105,Tucuman,El Catorce
4105,Tucuman,El Ceibal
4105,Tucuman,El Duraznillo
4105,Tucuman,El Nogalito
4105,Tucuman,El Siambon
4105,Tucuman,Escuela
4105,Tucuman,Escuela 113
4105,Tucuman,Escuela 311
4105,Tucuman,Fagsa
4105,Tucuman,Finca Tina
4105,Tucuman,Hitachi
4105,Tucuman,Horco Molle
4105,Tucuman,Hoyada
4105,Tucuman,Kilometro 792
4105,Tucuman,Kilometro 808
4105,Tucuman,La Banda
4105,Tucuman,La Bomba
4105,Tucuman,La Cavera
4105,Tucuman,La Hoyada
4105,Tucuman,La Sala
4105,Tucuman,Lacavera
4105,Tucuman,Las Juntas
4105,Tucuman,Las Talas
4105,Tucuman,Las Tipas
4105,Tucuman,Lomas De Imbaud
4105,Tucuman,Los Aguirre
4105,Tucuman,Los Alamos
4105,Tucuman,Los Alcaraces
4105,Tucuman,Los Bulacios
4105,Tucuman,Los Chamicos
4105,Tucuman,Los Planchones
4105,Tucuman,Los Vazquez
4105,Tucuman,Manantial
4105,Tucuman,Manantial De Ovanta
4105,Tucuman,Misky
4105,Tucuman,Mtial De Ovanta
4105,Tucuman,Mundo Nuevo
4105,Tucuman,Parada De Ohuanta
4105,Tucuman,Potrerillo
4105,Tucuman,Puesto Cochucho
4105,Tucuman,R Provincial 338
4105,Tucuman,Raco
4105,Tucuman,San Alberto
4105,Tucuman,San Felipe
4105,Tucuman,San Javier
4105,Tucuman,San Miguel
4105,Tucuman,Santa Barbara
4105,Tucuman,Tecotex
4105,Tucuman,Tipas
4105,Tucuman,Villa Angelina
4105,Tucuman,Villa Nougues
4105,Tucuman,Villa San Javier
4105,Tucuman,Yerba Huasi
4107,Tucuman,Aconquija
4107,Tucuman,Barrio Casino
4107,Tucuman,Cuatro Gatos
4107,Tucuman,Higueritas
4107,Tucuman,Iglesias
4107,Tucuman,Las Mellizas
4107,Tucuman,Ojo De Agua
4107,Tucuman,Pie Del Aconquija
4107,Tucuman,Puerta San Javier
4107,Tucuman,Villa Marcos Paz
4107,Tucuman,Yerba Buena
4108,Tucuman,San Javier
4109,Tucuman,Banda Del Rio Sali
4109,Tucuman,Barrio Belgrano
4109,Tucuman,Ingenio Concepcion
4109,Tucuman,Ingenio San Juan
4109,Tucuman,Los Vallistos
4109,Tucuman,Nuevos Mataderos
4109,Tucuman,Puente Rio Sali
4110,Tucuman,Campo Herrera
4111,Tucuman,Aguada
4111,Tucuman,Bajo Grande
4111,Tucuman,Bilca Pozo
4111,Tucuman,Campana
4111,Tucuman,Candelillal
4111,Tucuman,Carbon Pozo
4111,Tucuman,Cevilarcito
4111,Tucuman,Chilcal
4111,Tucuman,Colombres
4111,Tucuman,Colonia Agricola
4111,Tucuman,Colonia Argentina
4111,Tucuman,Cortaderal
4111,Tucuman,Cortaderas
4111,Tucuman,Costa A Esquina
4111,Tucuman,E Esquina
4111,Tucuman,El C Colombres
4111,Tucuman,Esquina
4111,Tucuman,Esquina Del Llano
4111,Tucuman,Finca Elisa
4111,Tucuman,Finca Pacara
4111,Tucuman,Fronteritas
4111,Tucuman,Gobernador Nouges
4111,Tucuman,Ingenio Cruz Alta
4111,Tucuman,Ingenio Leales
4111,Tucuman,Juan Posse
4111,Tucuman,La Aguada
4111,Tucuman,La Empatada
4111,Tucuman,La Encantada
4111,Tucuman,La Fronterita
4111,Tucuman,Laguna Blanca
4111,Tucuman,Las Mercedes
4111,Tucuman,Lastenia
4111,Tucuman,Loma Verde
4111,Tucuman,Los Bulacios
4111,Tucuman,Los Camperos
4111,Tucuman,Los Porceles
4111,Tucuman,Los Sueldos
4111,Tucuman,Los Villagra
4111,Tucuman,Pacara Pintado
4111,Tucuman,Pala Pala
4111,Tucuman,Polito
4111,Tucuman,Pozo Alto
4111,Tucuman,Pozo Del Alto
4111,Tucuman,Puesto Chico
4111,Tucuman,Puma Pozo
4111,Tucuman,Quilmes
4111,Tucuman,Retiro
4111,Tucuman,Roma
4111,Tucuman,Rosario Oeste
4111,Tucuman,S Rosa De Leales
4111,Tucuman,San Andres
4111,Tucuman,San Nicolas
4111,Tucuman,Santa Felisa
4111,Tucuman,Santa Rosa De Leales
4111,Tucuman,Sueldo
4111,Tucuman,Sueldos
4111,Tucuman,Vilca Pozo
4112,Tucuman,El Bracho
4113,Tucuman,Acostilla
4113,Tucuman,Avestilla
4113,Tucuman,C Y Apeadero Fcgb
4113,Tucuman,Cachi Huasi
4113,Tucuman,Cachi Yaco
4113,Tucuman,El Carmen
4113,Tucuman,El Durazno
4113,Tucuman,El Guardamonte
4113,Tucuman,El Naranjo
4113,Tucuman,El Rosario
4113,Tucuman,Entre Rios
4113,Tucuman,Gomez Chico
4113,Tucuman,Las Acostillas
4113,Tucuman,Leales
4113,Tucuman,Los Britos
4113,Tucuman,Los Crespo
4113,Tucuman,Los Gomez
4113,Tucuman,Los Herreras
4113,Tucuman,Los Juarez
4113,Tucuman,Los Quemados
4113,Tucuman,Los Romanos
4113,Tucuman,Lunarejos
4113,Tucuman,Miguel Lillo
4113,Tucuman,Noario
4113,Tucuman,San Jose De Leales
4113,Tucuman,Tusca Pozo
4113,Tucuman,Tusquitas
4113,Tucuman,Uturungu
4113,Tucuman,Villa Leales
4113,Tucuman,Yatapayana
4115,Tucuman,Agua Azul
4115,Tucuman,Agua Dulce
4115,Tucuman,Ahi Veremos
4115,Tucuman,Bajo Grande
4115,Tucuman,Barrealito
4115,Tucuman,Buena Vista
4115,Tucuman,Camas Amontonadas
4115,Tucuman,Campo Azul
4115,Tucuman,Condor Huasi
4115,Tucuman,E Las Cs
4115,Tucuman,El Mollar
4115,Tucuman,El Naranjito
4115,Tucuman,El Pavon
4115,Tucuman,El Suncho
4115,Tucuman,Favorina
4115,Tucuman,Jusco Pozo
4115,Tucuman,La Colonia
4115,Tucuman,La Florida
4115,Tucuman,Las Celayas
4115,Tucuman,Las Colonias
4115,Tucuman,Las Encrucijadas
4115,Tucuman,Las Palmitas
4115,Tucuman,Las Zorras
4115,Tucuman,Los Puestos
4115,Tucuman,Los Villegas
4115,Tucuman,Los Zelayas
4115,Tucuman,Mancopa
4115,Tucuman,Mancopa Chico
4115,Tucuman,Mixta
4115,Tucuman,Mojon
4115,Tucuman,Monte Bello
4115,Tucuman,Moyar
4115,Tucuman,Naranjito
4115,Tucuman,Oran
4115,Tucuman,Palmitas
4115,Tucuman,Pirhuas
4115,Tucuman,Posse Desv P Fcgm
4115,Tucuman,Punta De Rieles
4115,Tucuman,Punta Rieles
4115,Tucuman,Rafaela Pozo
4115,Tucuman,Romera Pozo
4115,Tucuman,San Antonio
4115,Tucuman,Sandis
4115,Tucuman,Soledad
4115,Tucuman,Vielos
4116,Tucuman,Lastenia
4117,Tucuman,Alabama
4117,Tucuman,Alto De Medina
4117,Tucuman,Angostura
4117,Tucuman,Carolinas Bajas
4117,Tucuman,Cañada De Alzogaray
4117,Tucuman,Chabela
4117,Tucuman,Delfin Gallo
4117,Tucuman,El Aserradero
4117,Tucuman,El Cochuchal
4117,Tucuman,El Espinillo
4117,Tucuman,El Mojon
4117,Tucuman,El Naranjo
4117,Tucuman,El Paraiso
4117,Tucuman,El Portezuelo
4117,Tucuman,Finca Lopez
4117,Tucuman,Guzman E Fcgb
4117,Tucuman,Ingenio La Florida
4117,Tucuman,La Florida
4117,Tucuman,Los Godos
4117,Tucuman,Los Perez
4117,Tucuman,Luisiana E Fcgm
4117,Tucuman,Lujan
4117,Tucuman,Macomita
4117,Tucuman,Mariño
4117,Tucuman,Monte Largo
4117,Tucuman,Moya
4117,Tucuman,Nuevo P La Florida
4117,Tucuman,P G Mendez
4117,Tucuman,Paraiso
4117,Tucuman,Portezuelo
4117,Tucuman,Pozo Hondo
4117,Tucuman,Puesto De Avila
4117,Tucuman,S Jose De Macomita
4117,Tucuman,San Jose De Macomita
4117,Tucuman,San Pedro
4117,Tucuman,Santa Teresa
4117,Tucuman,Taco
4117,Tucuman,Taco Palta
4117,Tucuman,Tambor De Tacuari
4117,Tucuman,Taquello
4118,Tucuman,Villa Fiad
4119,Tucuman,Agua Colorada
4119,Tucuman,Aguas Blancas
4119,Tucuman,Alto Verde
4119,Tucuman,Antillas
4119,Tucuman,Antu Mapu
4119,Tucuman,Asna Yaco
4119,Tucuman,Benjamin Araoz
4119,Tucuman,Benjamin Paz
4119,Tucuman,Burruyacu
4119,Tucuman,C De Los Negros
4119,Tucuman,Calera Aconquija
4119,Tucuman,California
4119,Tucuman,Casa Del Alto
4119,Tucuman,Casales
4119,Tucuman,Chamico
4119,Tucuman,Chilcas
4119,Tucuman,Chorrilos
4119,Tucuman,Churqui
4119,Tucuman,Concepcion
4119,Tucuman,Coop Agronomica
4119,Tucuman,Coromama
4119,Tucuman,Cossio
4119,Tucuman,Cruz De Abajo
4119,Tucuman,Descanso
4119,Tucuman,Desmonte
4119,Tucuman,E El Diamante
4119,Tucuman,El Aserradero
4119,Tucuman,El Atacal
4119,Tucuman,El Azul
4119,Tucuman,El Barco
4119,Tucuman,El Barrialito
4119,Tucuman,El Cajon
4119,Tucuman,El Castoral
4119,Tucuman,El Chorro
4119,Tucuman,El Churqui
4119,Tucuman,El Cruce
4119,Tucuman,El Establo
4119,Tucuman,El Frasquillo
4119,Tucuman,El Interes
4119,Tucuman,El Jardin
4119,Tucuman,El Matal
4119,Tucuman,El Morado
4119,Tucuman,El Naranjito
4119,Tucuman,El Obraje
4119,Tucuman,El Once
4119,Tucuman,El Porvenir
4119,Tucuman,El Puestito
4119,Tucuman,El Rodeo
4119,Tucuman,El Sinquial
4119,Tucuman,El Sunchal
4119,Tucuman,El Tajamar
4119,Tucuman,El Tipal
4119,Tucuman,El Triunfo
4119,Tucuman,El Zapallar
4119,Tucuman,F Piedra Blanca
4119,Tucuman,Finca Anchorena
4119,Tucuman,Finca Cristina
4119,Tucuman,Gramilla
4119,Tucuman,Jaguel
4119,Tucuman,Juliana
4119,Tucuman,Kilometro 80
4119,Tucuman,Kilometro 94
4119,Tucuman,La Aguita
4119,Tucuman,La Argentina
4119,Tucuman,La Banda
4119,Tucuman,La Calera - Tucuman
4119,Tucuman,La Caqada
4119,Tucuman,La Cautiva
4119,Tucuman,La Cañada
4119,Tucuman,La Corzuela
4119,Tucuman,La Cruz
4119,Tucuman,La Cruz De Arriba
4119,Tucuman,La Fortuna
4119,Tucuman,La Junta
4119,Tucuman,La Loma
4119,Tucuman,La Marta
4119,Tucuman,La Pola
4119,Tucuman,La Puerta De Luca
4119,Tucuman,La Ramada
4119,Tucuman,La Ramada De Abajo
4119,Tucuman,La Ruda
4119,Tucuman,La Sala
4119,Tucuman,La Soledad
4119,Tucuman,La Toma
4119,Tucuman,La Union
4119,Tucuman,La Verde
4119,Tucuman,Laguna De Robles
4119,Tucuman,Las Chacras
4119,Tucuman,Las Pechosas
4119,Tucuman,Las Zanjas
4119,Tucuman,Loma Grande
4119,Tucuman,Loma Negra
4119,Tucuman,Los Eucaliptos
4119,Tucuman,Los Gonzales
4119,Tucuman,Los Gonzalez
4119,Tucuman,Los Pedraza
4119,Tucuman,Molle Chato
4119,Tucuman,Nio El Puestito
4119,Tucuman,P Cevil Con Agua
4119,Tucuman,Pacara
4119,Tucuman,Pacara Marcado
4119,Tucuman,Pacara Pintado
4119,Tucuman,Palomitas
4119,Tucuman,Paso De Las Lanzas
4119,Tucuman,Piedra Blanca
4119,Tucuman,Piedra Tendida
4119,Tucuman,Pozo Del Algarrobo
4119,Tucuman,Puerta Quemada
4119,Tucuman,Puestito De Arriba
4119,Tucuman,Puesto De Uncos
4119,Tucuman,Puesto Villagra
4119,Tucuman,Punta Del Agua
4119,Tucuman,Requelme
4119,Tucuman,Rio Del Nio
4119,Tucuman,Rodeo Toro
4119,Tucuman,S Jose De S Martin
4119,Tucuman,San Eusebio
4119,Tucuman,San Geronimo
4119,Tucuman,San Lorenzo
4119,Tucuman,San Miguel
4119,Tucuman,San Patricio
4119,Tucuman,Santa Lucia
4119,Tucuman,Santa Rosa
4119,Tucuman,Santos Lugares
4119,Tucuman,Sinqueal
4119,Tucuman,Soraire
4119,Tucuman,Tala Pampa
4119,Tucuman,Tala Pozo
4119,Tucuman,Talita Pozo
4119,Tucuman,Taruca Pampa
4119,Tucuman,Tierras Blancas
4119,Tucuman,Toquello
4119,Tucuman,Totoral
4119,Tucuman,Tunalito
4119,Tucuman,Tusca Pampa
4119,Tucuman,V Benjamin Araoz
4120,Tucuman,El Chañar
4121,Tucuman,Villa Burruyacu
4122,Tucuman,Alizal
4122,Tucuman,Alurralde
4122,Tucuman,Aragon
4122,Tucuman,Benjamin Paz
4122,Tucuman,Casa Del Alto
4122,Tucuman,Choromoro
4122,Tucuman,Chusca
4122,Tucuman,Criollas
4122,Tucuman,Desmonte
4122,Tucuman,E El Cadillal
4122,Tucuman,El Cedro
4122,Tucuman,El Ojo
4122,Tucuman,Gonzalo
4122,Tucuman,Huasamayo
4122,Tucuman,Huasamayo Sud
4122,Tucuman,Junta
4122,Tucuman,La Higuera
4122,Tucuman,Las Juntas
4122,Tucuman,Loma Del Medio
4122,Tucuman,Mato Yaco
4122,Tucuman,Posta Vieja
4122,Tucuman,Potro Yaco
4122,Tucuman,Puertas
4122,Tucuman,Puesto Grande
4122,Tucuman,R Del Algarrobo
4122,Tucuman,Rio Vipos
4122,Tucuman,Rodeo
4122,Tucuman,Rodeo Grande
4122,Tucuman,Salamanca
4122,Tucuman,Salinas
4122,Tucuman,San Julian Yaco
4122,Tucuman,San Miguel
4122,Tucuman,San Vicente
4122,Tucuman,Sauce Yacu
4122,Tucuman,Sepultura
4122,Tucuman,Simbolar
4122,Tucuman,Tala Yaco
4122,Tucuman,Tapia
4122,Tucuman,Ticucho
4122,Tucuman,Tuna Sola
4122,Tucuman,Vesubio
4122,Tucuman,Viaductos Del Toro
4122,Tucuman,Vipos
4122,Tucuman,Yaco
4122,Tucuman,Ñorco
4123,Tucuman,La Ramada
4124,Tucuman,A De La Angostura
4124,Tucuman,A De Los Gimenez
4124,Tucuman,Abra El Candado
4124,Tucuman,Acequiones
4124,Tucuman,Agua El Simbo
4124,Tucuman,Agua Rosada
4124,Tucuman,Agua Salada
4124,Tucuman,Aguada De Jorge
4124,Tucuman,Alto La Totora
4124,Tucuman,Angostura
4124,Tucuman,Anta
4124,Tucuman,Barborin
4124,Tucuman,Boba Yacu
4124,Tucuman,Cachi Yaco
4124,Tucuman,Campo Redondo
4124,Tucuman,Capilla
4124,Tucuman,Casas Viejas
4124,Tucuman,Cervalito
4124,Tucuman,Chulca
4124,Tucuman,Corral Viejo
4124,Tucuman,E Hernan Miraval
4124,Tucuman,E Juan Jose Paso
4124,Tucuman,El Alpizar
4124,Tucuman,El Arenal
4124,Tucuman,El Boyero
4124,Tucuman,El Brete
4124,Tucuman,El Cadillal
4124,Tucuman,El Chorro
4124,Tucuman,El Junquillar
4124,Tucuman,El Milagro
4124,Tucuman,El Mistol
4124,Tucuman,El Molino
4124,Tucuman,El Mollar
4124,Tucuman,El P De Paranillo
4124,Tucuman,El Pelado
4124,Tucuman,El Porvenir
4124,Tucuman,El Potrero
4124,Tucuman,El Pozo
4124,Tucuman,El Puestito
4124,Tucuman,El Quebrachal
4124,Tucuman,El Suncal
4124,Tucuman,El Talar
4124,Tucuman,El Zauzal
4124,Tucuman,Estanque
4124,Tucuman,Hualinchay
4124,Tucuman,India Muerta
4124,Tucuman,Kilometro 1340
4124,Tucuman,Kilometro 847
4124,Tucuman,La Aguada
4124,Tucuman,La Banda
4124,Tucuman,La Dorita
4124,Tucuman,La Esquina
4124,Tucuman,La Laguna
4124,Tucuman,La Maravilla
4124,Tucuman,Las Arcas
4124,Tucuman,Las Botijas
4124,Tucuman,Las Burras
4124,Tucuman,Las Criollas
4124,Tucuman,Las Pircas
4124,Tucuman,Las T De Colalao
4124,Tucuman,Las Tacanas
4124,Tucuman,Laurel Yaco
4124,Tucuman,Leocadio Paz
4124,Tucuman,Los Bordos
4124,Tucuman,Los Puestos
4124,Tucuman,Manantiales
4124,Tucuman,Mimillo
4124,Tucuman,Miranda
4124,Tucuman,Molle Yaco
4124,Tucuman,Monte Bello
4124,Tucuman,Pantanillo
4124,Tucuman,Perucho
4124,Tucuman,Pie De La Cuesta
4124,Tucuman,Pingollar
4124,Tucuman,Portezuelo
4124,Tucuman,Pozo Suncho
4124,Tucuman,Pradera Alegre
4124,Tucuman,Puesto Varela
4124,Tucuman,Rearte
4124,Tucuman,S Pedro De Colalao
4124,Tucuman,San Carlos
4124,Tucuman,San Fernando
4124,Tucuman,San Isidro
4124,Tucuman,San Jose
4124,Tucuman,San Pedro De Colalao
4124,Tucuman,Santa Rita
4124,Tucuman,Sauzal
4124,Tucuman,Tacanas
4124,Tucuman,Taco Llano
4124,Tucuman,Taco Punco
4124,Tucuman,Taco Yaco
4124,Tucuman,Taco Yana
4124,Tucuman,Tipa Mayo
4124,Tucuman,Toco Llana
4124,Tucuman,Toro Loco
4124,Tucuman,Trancas
4124,Tucuman,Villa Gloria
4124,Tucuman,Villa Rita
4124,Tucuman,Villa Vieja
4124,Tucuman,Yarami
4124,Tucuman,Yuchaco
4124,Tucuman,Zarate
4125,Tucuman,Los Zazos
4126,Salta,Alem
4126,Tucuman,Baradero
4126,Salta,Ceibal
4126,Salta,El Brete
4126,Tucuman,El Cuibal
4126,Salta,El Jardin
4126,Salta,El Naranjo
4126,Salta,El Sunchal
4126,Salta,La Asuncion
4126,Salta,La Candelaria
4126,Salta,La Cuesta
4126,Salta,La Cueva
4126,Salta,La Maravilla
4126,Salta,La Poblacion
4126,Tucuman,Los Mogotes
4126,Salta,Miraflores
4126,Tucuman,Ovejero
4126,Salta,Potrerillos
4126,Salta,Riarte
4126,Salta,Ruiz De Los Llanos
4126,Salta,S Pedro De Aranda
4126,Tucuman,Salazar
4126,Salta,Tala
4126,Salta,Tala E R L Llanos
4127,Tucuman,Tafi Del Valle
4127,Salta,Villa Trancas
4128,Tucuman,E De M Ouanta
4128,Tucuman,E De Manualidades
4128,Tucuman,E Dean Salcedo
4128,Tucuman,E F N Laprida
4128,Tucuman,E I Colombres
4128,Tucuman,E Manuel Savio
4128,Salta,El Carmen
4128,Salta,El Ceibal
4128,Tucuman,Escuela 12
4128,Tucuman,Escuela 130
4128,Tucuman,Escuela 212
4128,Tucuman,Escuela 222
4128,Salta,Escuela 243
4128,Tucuman,Escuela 247
4128,Tucuman,Escuela 251
4128,Tucuman,Escuela 253
4128,Tucuman,Escuela 254
4128,Tucuman,Escuela 260
4128,Tucuman,Escuela 324
4128,Tucuman,Escuela 333
4128,Tucuman,Escuela 348
4128,Tucuman,Escuela 39
4128,Tucuman,Escuela 51
4128,Tucuman,Escuela E Canton
4128,Tucuman,Escuela F Nogues
4128,Tucuman,Escuela Ing Bertre
4128,Tucuman,Escuela L Blanco
4128,Tucuman,Escuela Malvinas
4128,Tucuman,Ingenio Lules
4128,Tucuman,La Bolsa
4128,Tucuman,La Capilla
4128,Tucuman,Las Moreras
4128,Tucuman,Lules
4128,Tucuman,P De Las Tablas
4128,Tucuman,Potrero De Las Tablas
4128,Tucuman,R Provincial 301
4128,Tucuman,R Provincial 338
4128,Tucuman,R Provincial 380
4128,Tucuman,Ruta Nacional 157
4128,Tucuman,Ruta Nacional38
4128,Salta,San Jose De Lules
4128,Tucuman,Santa Victoria
4129,Tucuman,C Maria Elena
4129,Tucuman,El Obraje
4129,Tucuman,La Quebrada
4129,Tucuman,La Reduccion
4129,Tucuman,Las Tablas
