id,tipo,nombre,localidadId,localidad,cpa
4d97e153-1b42-4e2e-92a2-d09143bfc175,Avenida,H del Carril,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
b4db462f-31da-4885-8694-e8d4abcff796,Calle,Lujan,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
37d33bbf-84c7-4322-9987-24ed05b6de76,Calle,Miramar,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
0ac89682-34ab-4c05-a3d7-486d17b4679f,Calle,Parana,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
22d82189-cf80-4a2e-b7a3-820a2492a924,Calle,Pte J D Peron,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
a5e6767e-80b4-46d0-b876-8d152e3f9358,Calle,Rio Cuarto,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
382a0590-5ca0-42c8-8070-b9b4fdce92c5,Avenida,Rio Deseado,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
1ab98b60-aa1a-4914-9e0b-22048f1e06fb,Calle,Rio Negro,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
a4e19f57-59c8-440b-a816-3da3b043420c,Calle,Rio Tercero,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
2611517c-521d-4d13-83cc-401bfb31a304,Avenida,Ruta Nacional 8,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
ffa6f865-9e39-4e5b-ac63-befd54a613ee,Calle,Salguero,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
048aa2e8-3d13-4140-8a07-9a320473b47c,Calle,San Javier,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
acadf9b0-133d-4453-9dde-ca348d7bf56b,Calle,San Luis,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
3ff14cee-e649-45d5-b827-9b646349323a,Calle,Santiago del Estero,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
ccb31a5f-20b1-4dc0-9edb-a708f326eb7e,Calle,Sold Caballero,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
50b1eaf7-c4e0-47c7-bfc3-a15377d8d9fd,Avenida,Tucuman,3df545d4-f5a7-4257-afe2-bd4c0cc5ff22,11 de Septiembre,N/A
50edc912-acfe-47a8-abfc-3322f9ff9f15,Calle,25 de Mayo,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
deea3cf2-4469-4272-ad60-6157dab4d02a,Calle,Alte G Brown,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
45708636-4f2c-41e2-9f76-dfadce0849ea,Calle,B Mitre,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502AQA
1a592c8f-9d48-4151-a69a-a59009053dc6,Calle,Bernardino Rivadavia,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,N/A
6b2c39ad-60bb-4be0-a202-460c76552aad,Calle,Ceferino Namuncura,974a7d1b-4bf4-4f53-bfce-8afb655ca529,12 de Octubre,B6502ASA
