id,name,zip,state
16082,Colonia Bigand,S2317XAD,Santa Fé
16083,Colonia California,S3005XAA,Santa Fé
16084,Colonia Campo Botto,S3036XAA,Santa Fé
16085,Colonia Campo Piaggio,S2252XAA,Santa Fé
16086,Colonia Candelaria,S2170XAB,Santa Fé
16088,Colonia Cello,S2405XAA,Santa Fé
16089,Colonia Clara,S3025XAD,Santa Fé
16090,Colonia Clodomira,S2123XAB,Santa Fé
16091,Colonia Corondina,S2240XAB,Santa Fé
16092,Colonia Dolores,S3045XAE,Santa Fé
16093,Colonia Dos Rosas y la Legua,S2349XAC,Santa Fé
16094,Colonia Duran,S3553XAB,Santa Fé
16095,Colonia el Carmen,S2138XAA,Santa Fé
16096,Colonia el Ochenta,S3042XAB,Santa Fé
16097,Colonia el Simbol,S3074XAC,Santa Fé
16098,Colonia el Toba,S3553XAC,Santa Fé
16099,Colonia el Veinticinco,S3560XAB,Santa Fé
16100,Colonia Ella,S3572XAC,Santa Fé
16101,Colonia Escribano,S2103XAB,Santa Fé
16102,Colonia Fernandez,S2639XAB,Santa Fé
16103,Colonia Francesa,S3005XAB,Santa Fé
16104,Colonia Gomez,S2639XAC,Santa Fé
16105,Colonia Hansen,S2637XAA,Santa Fé
16106,Colonia Hardy,S3592XAA,Santa Fé
16107,Colonia Independencia,S3066XAC,Santa Fé
16109,Colonia la  Catalana,S2637XAB,Santa Fé
16110,Colonia la  Palencia,S2639XAF,Santa Fé
16111,Colonia la  Pellegrini,S2639XAG,Santa Fé
16112,Colonia la Blanca,S3052XAB,Santa Fé
16113,Colonia la Costa,S2170XAC,Santa Fé
16114,Colonia la Maria,S3056XAC,Santa Fé
16115,Colonia la Mora,S3045XAB,Santa Fé
16116,Colonia la Negra,S3054XAF,Santa Fé
16117,Colonia la Nicolasa,S3056XAB,Santa Fé
16118,Colonia la Nueva,S3081XAA,Santa Fé
16119,Colonia la Penca,S3045XAF,Santa Fé
16120,Colonia la Yerba,S2451XAB,Santa Fé
16121,Colonia Lago Di como,S2187XAA,Santa Fé
16122,Colonia los Zapallos,S3003XAA,Santa Fé
16123,Colonia Mackinlay,S2347XAA,Santa Fé
16124,Colonia Malhman Sud,S2347XAB,Santa Fé
16125,Colonia Manuel Menchaca,S3046XAM,Santa Fé
16126,Colonia Margarita,S2443XAA,Santa Fé
16127,Colonia Mascias,S3001XAW,Santa Fé
16128,Colonia Matilde,S3013XAA,Santa Fé
16129,Colonia Maua,S2311XAA,Santa Fé
16130,Colonia Medici,S2144XAA,Santa Fé
16131,Colonia Montefiore,S2341XAA,Santa Fé
16132,Colonia Morgan,S2609XAA,Santa Fé
16133,Colonia Nueva Narciso,S3001XAD,Santa Fé
16134,Colonia Ortiz,S2313XAB,Santa Fé
16135,Colonia Piamontesa,S2639XAH,Santa Fé
16136,Colonia Pujol,S3080XAB,Santa Fé
16137,Colonia Reina Margarita,S2309XAA,Santa Fé
16138,Colonia Ripamonti,S2349XAA,Santa Fé
16140,Colonia Sager,S3553XAD,Santa Fé
16142,Colonia San Francisco,S2527XAA,Santa Fé
16143,Colonia San Joaquin,S3001XAE,Santa Fé
16144,Colonia San Manuel,S3563XAA,Santa Fé
16145,Colonia San Roque,S3005XAI,Santa Fé
16146,Colonia Santa Anita,S2451XAA,Santa Fé
16147,Colonia Santa Catalina,S3572XAD,Santa Fé
16148,Colonia Santa Lucia,S2609XAB,Santa Fé
16149,Colonia Santa Natalia,S2639XAI,Santa Fé
16150,Colonia Silva,S3042XAC,Santa Fé
16151,Colonia Tacurales,S2324XAA,Santa Fé
16152,Colonia Teresa,S3005XAC,Santa Fé
16153,Colonia Toscana Primera,S2185XAC,Santa Fé
16154,Colonia Toscana Segunda,S2185XAB,Santa Fé
16155,Colonia Tres Marias,S2216XAB,Santa Fé
16156,Colonia Tres Reyes,S3048XAA,Santa Fé
16157,Colonia Urdaniz,S3516XAB,Santa Fé
16158,Colonia Valdez,S2115XAD,Santa Fé
16159,Colonia Valencia,S2639XAD,Santa Fé
16160,Colonia Yaguarete,S3560XAC,Santa Fé
16161,Constanza,S2311XAB,Santa Fé
16162,Constituyentes,S3014XAB,Santa Fé
16163,Copacabana,S2919XAB,Santa Fé
16164,Cora,S2631XAA,Santa Fé
16166,Coronel Aguirre,S2124XAB,Santa Fé
16170,Coronel Fraga,S2301XAB,Santa Fé
16171,Coronel Rodriguez,S3013XAB,Santa Fé
16172,Coronel Roseti,S6106XAA,Santa Fé
16175,Cresta,S2126XAB,Santa Fé
16177,Cristolia,S2445XAA,Santa Fé
16178,Cuatro Casas,S2313XAC,Santa Fé
16179,Cuatro Esquinas,S2639XAE,Santa Fé
16180,Cullen,S2202XAB,Santa Fé
16181,Cululu,S3023XAE,Santa Fé
16183,Dest Aeronautico Milit Reconqu,S3567XAB,Santa Fé
16185,Desvio Boero,S2415XAA,Santa Fé
16186,Desvio Kilometro 282,S3551XAN,Santa Fé
16187,Desvio Kilometro 392,S3551XAA,Santa Fé
16188,Dho,S3070XAC,Santa Fé
16191,Distrito 3 Isletas,S3575XAA,Santa Fé
16192,Doce Casas,S2313XAD,Santa Fé
16193,Durham,S2631XAB,Santa Fé
16195,El 38,S3550XAG,Santa Fé
16196,El 44,S3550XAH,Santa Fé
16197,El Aguara,S3070XAA,Santa Fé
16198,El Alberdon,S6106XAF,Santa Fé
16199,El Amargo,S3060XAG,Santa Fé
16200,El Araza,S3563XAB,Santa Fé
16201,El Bagual,S2723XAA,Santa Fé
16202,El Bayo,S2300XAB,Santa Fé
16203,El Bonete,S3550XAA,Santa Fé
16204,El Cantor,S2643XAA,Santa Fé
16205,El Caramelo,S2105XAE,Santa Fé
16206,El Carmen de Avellaneda,S3561XAA,Santa Fé
16207,El Ceibalito,S3575XAH,Santa Fé
16208,El Ceibo,S3005XAE,Santa Fé
16209,El Cincuenta,S3550XAF,Santa Fé
16210,El Diecisiete,S3553XAG,Santa Fé
16211,El Galpon,S3021XAA,Santa Fé
16212,El Gusano,S3005XAF,Santa Fé
16213,El Jardin,S2732XAB,Santa Fé
16214,El Laurel,S3001XAH,Santa Fé
16215,El Mariano,S3060XAH,Santa Fé
16216,El Nochero,S3061XAD,Santa Fé
16217,El Pajaro Blanco,S3051XAA,Santa Fé
16218,El para,S3005XAG,Santa Fé
16219,El Pozo,S3001XAI,Santa Fé
16220,El Rabon,S3592XAB,Santa Fé
16221,El Refugio,S6103XAC,Santa Fé
16222,El Ricardito,S3572XAF,Santa Fé
16223,El Sombrerero,S3046XAQ,Santa Fé
16224,El Sombrerito,S3585XAE,Santa Fé
16225,El Tajamar,S3565XAH,Santa Fé
16226,El Tapialito,S3575XAI,Santa Fé
