streetId,isOdd,from,until,localityId,zip
1,true,1,99,,V9420EHA
1,false,2,100,,V9420EHB
2,true,101,199,,V9420EIA
2,false,102,200,,V9420EIB
2,true,1101,1199,,V9420CEA
2,false,1102,1200,,V9420CEB
3,true,101,199,,V9420EIA
3,false,102,200,,V9420EIB
3,true,1101,1199,,V9420CEA
3,false,1102,1200,,V9420CEB
4,true,701,799,,V9420EJA
4,false,702,800,,V9420EJB
4,true,801,899,,V9420EJC
4,false,802,900,,V9420EJD
4,true,901,999,,V9420EJE
4,false,902,1000,,V9420EJF
4,true,1001,1099,,V9420EJG
4,false,1002,1100,,V9420EJH
4,true,1101,1199,,V9420EJI
4,false,1102,1200,,V9420EJJ
4,true,1201,1299,,V9420EJK
4,false,1202,1300,,V9420EJL
5,true,701,799,,V9420BJA
5,false,702,800,,V9420BJB
5,true,801,899,,V9420BJC
5,false,802,900,,V9420BJD
5,true,901,999,,V9420BJE
5,false,902,1000,,V9420BJF
5,true,1001,1099,,V9420BJG
5,false,1002,1100,,V9420BJH
5,true,1101,1199,,V9420BJI
5,false,1102,1200,,V9420BJJ
5,true,1201,1299,,V9420BJK
5,false,1202,1300,,V9420BJL
6,true,301,399,,V9420EKA
6,false,302,400,,V9420EKB
6,true,401,499,,V9420EKC
6,false,402,500,,V9420EKD
6,true,501,599,,V9420EKE
6,false,502,600,,V9420EKF
6,true,601,699,,V9420EKG
6,false,602,700,,V9420EKH
6,true,701,799,,V9420EKI
6,false,702,800,,V9420EKJ
7,true,1,99,,V9420ENA
7,false,2,100,,V9420ENB
7,true,101,199,,V9420ENC
7,false,102,200,,V9420END
8,true,1,99,,V9420ELA
8,false,2,100,,V9420ELB
9,true,1,99,,V9420EMA
9,false,2,100,,V9420EMB
10,true,1,99,,V9420OIY
10,false,2,100,,V9420OIZ
10,true,101,199,,V9420EOA
10,false,102,200,,V9420EOB
10,true,201,299,,V9420EOC
10,false,202,300,,V9420EOD
10,true,301,399,,V9420EOE
10,false,302,400,,V9420EOF
10,true,401,499,,V9420EOG
10,false,402,500,,V9420EOH
10,true,501,599,,V9420EOI
10,false,502,600,,V9420EOJ
10,true,601,699,,V9420EOK
10,false,602,700,,V9420EOL
10,true,701,799,,V9420EOM
10,false,702,800,,V9420EON
10,true,801,899,,V9420EOO
10,false,802,900,,V9420EOP
11,true,401,499,,V9420EPA
11,false,402,500,,V9420EPB
11,true,501,599,,V9420EPC
11,false,502,600,,V9420EPD
11,true,601,699,,V9420EPE
11,false,602,700,,V9420EPF
11,true,701,799,,V9420EPG
11,false,702,800,,V9420EPH
11,true,801,899,,V9420EPI
11,false,802,900,,V9420EPJ
12,true,701,799,,V9420AUA
12,false,702,800,,V9420AUB
12,true,801,899,,V9420AUC
12,false,802,900,,V9420AUD
12,true,901,999,,V9420AUE
12,false,902,1000,,V9420AUF
12,true,1001,1099,,V9420AUG
12,false,1002,1100,,V9420AUH
12,true,1101,1199,,V9420AUI
12,false,1102,1200,,V9420AUJ
12,true,1201,1299,,V9420AUK
12,false,1202,1300,,V9420AUL
12,true,1301,1399,,V9420AUM
12,false,1302,1400,,V9420AUN
12,true,1401,1499,,V9420AUO
12,false,1402,1500,,V9420AUP
